author_id,text,created_at.x,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,created_at.y,description,verified,username
1006975757787246598,"@EquipoJackson @GiorgioJackson @RDemocratica @elfrente_amplio La religión es tan autocrática y dogmática que no consigue distinguir aquello que es un ""bien público"", de lo que significa un ""atributo personal""",2021-04-20T22:06:05.000Z,1384629471932829697,es,0,0,0,0,Carloco,"",2018-06-13T19:05:04.000Z,"",FALSE,Carloco43878145
1007049566,"@LatorreJI @RDemocratica Buena populista.
¿Que tiene que ver ""defender la AFPs"" con el retiro?
El retiro es del fondo de pensiones, no del dinero de las AFPs....",2021-04-20T23:16:39.000Z,1384647228359200769,es,0,0,0,0,Alejandro Covarrubias,"",2012-12-12T18:51:35.000Z,Interesado en verificar como con el IVA y otros impuestos  ( total 25%) ya trabajamos una semana cada  mes para el fisco.,FALSE,Vamos_A_Londres
102705395,@mcatarubio @ConcejalaMunoz @RdLaReina @fa_lareina @RDemocratica @AhoraNosotrasRD @Coordinadora8m @LaReinaNews @FeministasRDRM @Marce_Sandoval_ Horrible. Que rabia.,2021-04-20T19:52:24.000Z,1384595829189709830,es,0,0,0,0,Gabriela,"",2010-01-07T15:14:56.000Z,Socióloga #NuevaConstitución,FALSE,loquequedanoma
103294969,"@RDemocratica @amaya_alvez excelente iniciativa, necesito salir a caminar en la tarde",2021-04-21T01:02:34.000Z,1384673885442936833,es,1,0,2,0,monka,"",2010-01-09T15:25:40.000Z,Me creo revolucionaria y acusativa. Integrante de una familia trans. Siempre un libro en la mochila. Estudio para redactar la nueva constitución.,FALSE,monkasalinas
1033447465742204928,"@RDemocratica como un partido que participo en la quiebra de miles de pymes habla de pasar hambre , sus diputados donandose , que fiasco estos fachos de rd",2021-04-20T21:51:57.000Z,1384625912923185155,es,0,0,0,0,Jorge Flores,"",2018-08-25T20:14:11.000Z,Lucho por lo justo y cierto,FALSE,JorgeFl69744910
1033447465742204928,@Marce_Sandoval_ @RDemocratica @elfrente_amplio https://t.co/TnhW82GZrd,2021-04-21T01:12:26.000Z,1384676365497257986,und,0,0,0,0,Jorge Flores,"",2018-08-25T20:14:11.000Z,Lucho por lo justo y cierto,FALSE,JorgeFl69744910
1033447465742204928,@RDemocratica https://t.co/wKgVXQckIL,2021-04-21T00:13:45.000Z,1384661597898018818,und,0,0,1,0,Jorge Flores,"",2018-08-25T20:14:11.000Z,Lucho por lo justo y cierto,FALSE,JorgeFl69744910
1033447465742204928,@RDemocratica díganle a la catalina que queme la sede de bilbao  ya que parece  cantina. bueno que la pironama catalina nos diga que hará si  no le aguantamos que destruya el 2/3?,2021-04-20T21:53:39.000Z,1384626341786660864,es,0,1,1,0,Jorge Flores,"",2018-08-25T20:14:11.000Z,Lucho por lo justo y cierto,FALSE,JorgeFl69744910
1033447465742204928,"@RDemocratica ya pues den el ejemplo empiecen por ustedes mismos , quien da el primer paso, florsita motuda.catalina o el donaor jackson, podría ser el gordito boric",2021-04-20T19:39:34.000Z,1384592598283739145,es,0,0,0,0,Jorge Flores,"",2018-08-25T20:14:11.000Z,Lucho por lo justo y cierto,FALSE,JorgeFl69744910
1033447465742204928,"@RDemocratica cual pueblo payasos???? donde vivo solo los flaites están en la calle, muchos no quieren el 3 retiro. ustedes pagaran estos fachos. haremos que paguen de una forma u otra",2021-04-21T00:12:45.000Z,1384661346957111297,es,0,0,0,0,Jorge Flores,"",2018-08-25T20:14:11.000Z,Lucho por lo justo y cierto,FALSE,JorgeFl69744910
