author_id,text,created_at.x,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,url,username,created_at.y,name,description
1038797243803947010,"@chahuan, Pancho ojalá entiendan que a ese reservorio de odio y resentimiento @carmen_hertz, hay que decirle en su cara que no sea inmoral respecto de DD. HH.ella fue terrorista y llamó a matar gente en el norte.
Decirles que el 73 fue culpa de su sector
https://t.co/Co8I4KjQbH",2021-04-21T01:53:48.000Z,1384686778431455237,es,0,0,0,0,FALSE,"",patrianueva2020,2018-09-09T14:32:17.000Z,Mario Galán,"Dios, Familia y Patria.
Agradecido de la obra del gobierno militar y de los héroes de Punta Peuco"
104141630,@Mister_Wolf_0 @carmen_hertz @tv_monica @LaRedTV El video continúa con Pardo diciendo que su cuerpo le dice otra cosa sobre los militares. https://t.co/Bx3pRYoHJY,2021-04-21T01:35:22.000Z,1384682138038063105,es,0,1,1,0,FALSE,https://t.co/6kUhJPAJqv,rockmeza,2010-01-12T11:53:38.000Z,Súper Dinámico Marsupial del Futuro,"Ingeniero Civil, bloguero, porfiado con y sin causa y ninguna de las anteriores a veces. Casado con @danielumbica. #Apruebo #ConvenciónConstitucional"
104297620,@rockmeza @Mister_Wolf_0 @carmen_hertz @tv_monica @LaRedTV Ese argumento se pondrá de moda jajajaja,2021-04-21T01:44:42.000Z,1384684488840650752,es,0,0,2,0,FALSE,"",solvaldes,2010-01-12T22:50:37.000Z,Irma Soledad Valdes,Yo Apruebo / Convención Constitucional ♥️
1077274292,"@Mister_Wolf_0 @carmen_hertz @tv_monica @LaRedTV “Yo CREO q eso no es así” debiese ser el emblema de la derecha. No es q sepan, o hayan investigado o q tengan evidencia q respalde lo q dicen, solo NO CREEN Q SEA ASÍ  🤡",2021-04-21T02:51:09.000Z,1384701209899159553,es,0,0,1,0,FALSE,"",Seba_G_T,2013-01-10T18:03:53.000Z,Seba Patipelado,"Ya no son los españoles los que les hacen llorar, hoy son los propios chilenos los que les quitan su pan, LEVÁNTATE!!! #noesmipresidente"
111032669,"@mariseka @Diputados_PC @carmen_hertz @KarolCariola @luiscuellop @Mayafernandeza @jjcc_chile @ValeMirandaCC @PCdeChile @PrensaPCdeChile @RNuevoMundo Desde manaña todos a acampar afuera del TC pacíficamente a hacer presión ¡¡... No nos moveran¡

Te esperamos Maricel ¡ https://t.co/tDOKTsSdQS",2021-04-21T03:14:48.000Z,1384707159469010944,es,0,0,0,0,FALSE,"",Guszalo,2010-02-03T15:47:30.000Z,APRUEBO,Resurrección del pueblo?
1152754934,@Mister_Wolf_0 @carmen_hertz Un mal educado con corbata.,2021-04-21T02:14:24.000Z,1384691961848864770,es,0,0,0,0,FALSE,"",cynthiapinto76,2013-02-06T03:15:02.000Z,cynthia mariela ,""
115809922,@Piagutierrezs @niamonisoberano @carmen_hertz @danieljadue @rafa_cavada @huacha_roja Grande Puerto Varas,2021-04-21T01:37:57.000Z,1384682789937745926,es,0,0,1,0,FALSE,"",gajaro,2010-02-20T01:43:44.000Z,del 80% voto por independientes,"mi nombre es Gabriel , contador auditor"
1176113006184488960,"@Piagutierrezs @carmen_hertz @danieljadue @rafa_cavada @huacha_roja ""Piñera""   ...........El Rey Desnudo,;.  y
Su realidad distópica ,..
Imprime dolor a sus pares en busca de una retribución de aceptación.",2021-04-21T03:24:19.000Z,1384709555053948932,es,0,0,0,0,FALSE,"",keko21210707,2019-09-23T12:36:17.000Z,kekoBowmanbotaelmono,🤔
1185345493284597761,@carmen_hertz descansando despues d recibir NUESTRA plata ( su sueldo) todos los meses. https://t.co/qiixunZQCS,2021-04-21T02:22:33.000Z,1384694013685547009,es,0,0,0,0,FALSE,"",Cristy23670190,2019-10-19T00:03:06.000Z,Cristy ☭⃠💚,"Mamá sobretodo, simpática, amo el campo. Acompañada del mejor 3 hermosos hijos y muy directa.En algún momento de mi vida fui extra de TV."
1185677028038709249,@CNNChile Puta la vieja fea...@carmen_hertz es contaminación visual...que huevon tendra el estomago para comerse este murciélago 🤢🤮,2021-04-21T02:03:02.000Z,1384689099227942915,es,0,1,1,0,FALSE,"",Simon73675662,2019-10-19T22:01:22.000Z,Simon,La Libertad
