author_id,text,id,created_at.x,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,location,description,verified,username,url,created_at.y
100209982,@PCdeChile @gteillier @carmen_hertz @lautarocarmona @mariseka @PC_JAL @KarolCariola @amarolabra @IraciHassler @Hugo_Gutierrez_ @AlePlacenciaC Díganle eso a @NicolasMaduro,1384360010134827016,2021-04-20T04:15:21.000Z,es,0,0,1,0,Andrés Romo V.,Santiago de Chile,"",FALSE,andres_rodrigo,"",2009-12-29T12:10:09.000Z
1031560885,"@JavierO67768511 @gteillier @carmen_hertz Pero... entonces tu haces lo mismo, no la parte de ganar millones pero si llamarte ""pueblo""

No olvidemos el fracaso de la ""mayoria silenciosa""",1384274402854928386,2021-04-19T22:35:10.000Z,es,0,0,0,0,josefa alfon,"","",FALSE,Lilian21G,"",2012-12-23T23:42:07.000Z
1087792744024760325,@eltata_tuitero @tatayastarikoff @gteillier 👏👏👏👏👏😅😅😆😆🤣🤣🤣😆😅😅🤣🤣🤣,1384721313558941699,2021-04-21T04:11:02.000Z,und,0,0,0,0,Maria Aros,"","",FALSE,MariaAros13,"",2019-01-22T19:22:55.000Z
111032669,@RNuevoMundo @gteillier @PrensaPCdeChile @PCdeChile @Diputados_PC @elsiglochile Desde manaña todos a acampar afuera del TC pacíficamente a hacer presión ¡¡... No nos moveran¡ https://t.co/d8Qaja1TAN,1384712738308562945,2021-04-21T03:36:58.000Z,es,0,0,0,0,APRUEBO,"",Resurrección del pueblo?,FALSE,Guszalo,"",2010-02-03T15:47:30.000Z
1113625008721551361,"@eltata_tuitero @gteillier Menos mal qué yo estoy en el grupo de ""los lindos"" ...
Wuajajajajajajajajajajaja https://t.co/FzycEfLJAl",1384631156289818628,2021-04-20T22:12:47.000Z,es,0,0,5,0,𝕶𝖚𝖗𝖙 𝕭𝖆𝖗𝖑𝖔𝖜 𝕾𝖆𝖗𝖑𝖎𝖓𝖔𝖛,"","Vampiro,desde el origen del hombre, sirvo al Rey Carmesí🀄 Ultraderecha, NSDAP, Pinochetista
Si no me gusta tú comentario,te visitaré de noche.🦇⚰️ JAK2022🇨🇱",FALSE,kurtBarlowBS,"",2019-04-04T02:11:07.000Z
1169976543264825344,"Totalmente cierto

O lo puedes desmentir, @gteillier? 

TE DESAFÍO 

#ZurdosASusJaulas https://t.co/UCEkQJLGF5",1384467826753380355,2021-04-20T11:23:46.000Z,es,0,0,0,0,Fernando J. A.,"","Ingeniero Politécnico Militar (R). MSc en The University of Nottingham, UK. Admirador de #AugustoPinochet. Devoto de San Justo. Me cargan los comunistas. 1980",FALSE,FernandoJ766084,"",2019-09-06T14:12:19.000Z
1178356769275486208,@PabloAndresFra6 Ese conchesumadre de @gteillier es una vergüenza a nuestro país... debería estar preso el HDP,1384575912025464833,2021-04-20T18:33:16.000Z,es,2,0,1,0,Carlos Choque,"",La vida es como Excel... crees que sabes pero no... 😏,FALSE,CarlosC82849666,"",2019-09-29T17:12:17.000Z
1181051005,@ProvosteYasna @HeraldoMunoz @alvaroelizalde @marcoporchile @fchahin @ifloresdiputado @gteillier @MaldonadoCurti @GiorgioJackson @danieljadue @gabrielboric @la_tera_vive @Si_taPia_kona @_adrianamunoz https://t.co/2ZN6OPMpD6,1384659847107563520,2021-04-21T00:06:47.000Z,und,7,0,3,1,#YoApruebo #ConvencionConstituyente,"","Si no le gusta mi cuenta tiene 3 opciones:
1) Bloquearme
2) Silenciarme
3) O Simplemente ignorarme. 
Yo por mi parte Bloqueo a la primera agresión....",FALSE,pavilar01,"",2013-02-15T03:59:20.000Z
118469269,"@RNuevoMundo @gteillier @PrensaPCdeChile @PCdeChile @Diputados_PC @elsiglochile Una oposición que solo trabaja por wuebiar al otro, en vez de trabajar por el pueblo, es una mierda...!!!",1384686470854758403,2021-04-21T01:52:35.000Z,es,0,0,0,0,Perro Pug,Chile,"De Chile y si me respetan, le respeto.",FALSE,ChCifuentes,"",2010-02-28T19:56:04.000Z
118520774,@eltata_tuitero @gteillier Jajaja,1384631339220099074,2021-04-20T22:13:31.000Z,es,0,0,1,0,paola gutierrez,"Santiago, Chile",tranquila...decretando que soy felíz...no pierdo tiempo contestando a gente boba,FALSE,paitogutierrez,"",2010-02-28T23:20:41.000Z
1187545235385176064,@PCdeChile @gteillier @carmen_hertz @lautarocarmona @mariseka @PC_JAL @KarolCariola @amarolabra @IraciHassler @Hugo_Gutierrez_ @AlePlacenciaC tampoco un comunista golpista. 🤮,1384268549011623937,2021-04-19T22:11:55.000Z,it,0,0,1,0,Jenny.GM,Arica región Parinacota,Paz para el mundo.,FALSE,JennyGM16,"",2019-10-25T01:45:37.000Z
