author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,description,verified,created_at.y,username
1030770554,1384621411281608705,2021-04-20T21:34:04.000Z,es,@GaelDiputada No al corralito de Piñera,0,0,0,0,María Elena González,"","- Ingeniero Ejecución en Minas
- Prevencionista",FALSE,2012-12-23T15:22:23.000Z,m_maelenag
107230847,1384681802141519873,2021-04-21T01:34:02.000Z,es,@Alo__arellano @GaelDiputada @elfrente_amplio Pero luego pedirán perdón?,0,0,0,0,Pedro Núñez,"","Magdalena-Leonor-Facundo. AlbiRojo. Radicado en Valparaíso, Profesor Historia-Educador Social.       Construimos guerra de posiciones.",FALSE,2010-01-21T22:44:05.000Z,pedr0nunez
107725820,1384665063332749312,2021-04-21T00:27:31.000Z,es,"@KarolCariola @camila_vallejo @daniel_nunez_a @GorgioJackson @GaelDiputada @gabrielboric
@mariseka 
Que se necesita para presentar una acusación constitucional contra Piñera.
Hay notable abandonó de deberes al dejar al pueblo sufrir de Ambre, violación de DDHH etc.",0,0,0,0,carlos # Daniel Jadue Presidente,"","Comunista, luchando por los derechos de los trabajadores",FALSE,2010-01-23T14:27:48.000Z,carlos1973aceve
109969785,1384664554936877057,2021-04-21T00:25:30.000Z,es,"@la_convergencia @gonzalowinter @gabrielboric @GaelDiputada @Alo__arellano @ConySchon @mgoyenechea @pgselles @Naty_campusano @IgnacioAchurra El Piñerismo de nuevo provoca a la ciudadania; Pudo más la soberbia, la indolencia y el desprecio, que el dolor de los que más sufren los estragos sociales de la Pandemia... 
¡Chile no se merece esta tragedia!",0,0,1,0,Kurt McGuire,"","",FALSE,2010-01-30T22:06:09.000Z,invictusKMcG
109969785,1384662750249500673,2021-04-21T00:18:20.000Z,es,"@la_convergencia @gonzalowinter @gabrielboric @GaelDiputada @Alo__arellano @ConySchon @mgoyenechea @pgselles @Naty_campusano @IgnacioAchurra El Piñerismo de nuevo provoca a la Ciudadanía; Pudo más la soberbia, la indolencia y el desprecio al dolor de los que más sufren los estragos sociales de la Pandemia... 
¡Chile no se merece esta tragedia!",1,0,2,0,Kurt McGuire,"","",FALSE,2010-01-30T22:06:09.000Z,invictusKMcG
1116783697087356929,1384713880027467776,2021-04-21T03:41:30.000Z,es,Hagan algo bueno pa variar e incluyan a las gestantes en calendario de vacunación. El futuro se los agradecerá. @GaelDiputada @gabrielboric @diego_ibanezc @gonzalowinter @locarvt @CCyT_CS @Nolbert_ZC @amaya_alvez @PeriodistaPulpo @asociacionUdeC https://t.co/PmNaPNpjSo,4,0,6,0,Marcelo González Ortiz,https://t.co/LJk4dHxkfn,"Director de https://t.co/5VXfa6zq5S
Baterista de https://t.co/mejm7ahRoM

Militante de Convergencia Social",FALSE,2019-04-12T19:22:37.000Z,magonzalezortiz
1124522392926281730,1384714715558031367,2021-04-21T03:44:49.000Z,es,@NatitoOdiosa @la_convergencia @gonzalowinter @gabrielboric @GaelDiputada @Alo__arellano @ConySchon @mgoyenechea @pgselles @Naty_campusano @IgnacioAchurra Desea unirse a mi iglesia?,0,0,0,0,El artista formalmente conocido como Elmo,"","activista del caos y pastor de la iglesia Satanica de recoleta, patriota de verdad",FALSE,2019-05-04T03:53:25.000Z,Eldiablo_O_Elmo
1155853214,1384621677380874242,2021-04-20T21:35:07.000Z,und,"@GaelDiputada 
#NoAlCorralitoDePiñera",1,0,0,0,Chris.,"","",FALSE,2013-02-07T03:12:20.000Z,Chris_vald13
118177650,1384653835973627905,2021-04-20T23:42:54.000Z,es,"@met_valpo @la_convergencia @gonzalowinter @gabrielboric @GaelDiputada @Alo__arellano @ConySchon @mgoyenechea @pgselles @Naty_campusano @IgnacioAchurra 8:30 es lo que he leído, tmbn 21:00 pero creo que ahi es más dificil salir a la calle. Hay lugares donde ya están caceroleando.",2,0,10,0,Daniel Dem,"","Libertad a los presos políticos de la revuelta !
Latinoamérica Libre 🏔️🏞️

#NoAlTPP11 #FreeAssange #FreeTibet",FALSE,2010-02-27T21:07:05.000Z,Daniel_Dem1
1185565489134800901,1384635167676014596,2021-04-20T22:28:43.000Z,es,@Naty_campusano @la_convergencia @gabrielboric @gonzalowinter @LatorreJI @baradit @GaelDiputada @Alo__arellano @LuisMesina1 @Jaime_Bassa @Mister_Wolf_0 Acusación Constitucional contra el Millonario PIÑERA ahora y que vaya a la carcel. VEREMOS SI LOS PARLAMENTARIOS SON DE VERDAD,0,0,1,0,cHarli,"",Tranquilidad,FALSE,2019-10-19T14:37:13.000Z,char1234ch
1185947819531747330,1384686420380594178,2021-04-21T01:52:23.000Z,es,@la_convergencia @gonzalowinter @Alo__arellano @GaelDiputada @diego_ibanezc @gabrielboric @vg_matias @iamjaimefuentes @RELE_CIDH @gonzalowinter y @diego_ibanezc  son mi match perfecto 💖,0,0,0,0,nachozambranno,https://t.co/eDSVA6c6Q1,Law Student 👨🏻‍⚖️| cualquier trekk es bienvenido 🧗🏻‍♂️ |,FALSE,2019-10-20T15:56:20.000Z,jzambranno
118727791,1384624500940185600,2021-04-20T21:46:20.000Z,es,@Patocolosia @EdoDuran @memobarros @feguigurenc @amarolabra @andresmolinam @gastonsaavedra @Marce_Sandoval_ @frank_sauerbaum @gabrielsilber @GaelDiputada @Superpensiones No nos quiten la libertad de hacer los cambios !!!!dejen de cagarnos porfavor! 😞,0,0,0,0,Daniel Arriagada L.,"","Papá,
Conductor de trenes metro,
cruzado hasta la muerte = \ U | C / =",FALSE,2010-03-01T15:40:22.000Z,Daal86
1191428083171176448,1384686738388529154,2021-04-21T01:53:39.000Z,es,@la_convergencia @gonzalowinter @gabrielboric @GaelDiputada @Alo__arellano @ConySchon @mgoyenechea @pgselles @Naty_campusano @IgnacioAchurra Cacerolas de esponjas jajajjaja #QuePenaTuCacerolazo,0,0,0,0,marco88,"","Boia Chi Molla 
Anticomunista",FALSE,2019-11-04T18:53:00.000Z,andreso99400391
1198610800677507072,1384643956449886209,2021-04-20T23:03:39.000Z,und,@Joepino1984 @Senado_Chile @Camara_cl @GaelDiputada @pablovidalrojas @mariseka @PamJiles @Muletjaime @guillier @KarolCariola @camila_vallejo @danieljadue @ncastilo @CatalinaPerezS @gonzalowinter @Mayafernandeza @Claudia_Mix 😔,0,0,0,0,Indignada 🤮🤮🤮🔥🔥🔥,"","No les creo ni el aire que respiran a la cofradía instalada en el estado, instituciones, policias, política. Ni el aire!",FALSE,2019-11-24T14:34:32.000Z,En_ti_estoy
1198610800677507072,1384643711842279433,2021-04-20T23:02:40.000Z,es,"@Joepino1984 @Senado_Chile @Camara_cl @GaelDiputada @pablovidalrojas @mariseka @PamJiles @Muletjaime @guillier @KarolCariola @camila_vallejo @danieljadue @ncastilo @CatalinaPerezS @gonzalowinter @Mayafernandeza @Claudia_Mix Yo vote por el mal menor durante mucho tiempo.

Y no lo volveré hacer",0,1,1,0,Indignada 🤮🤮🤮🔥🔥🔥,"","No les creo ni el aire que respiran a la cofradía instalada en el estado, instituciones, policias, política. Ni el aire!",FALSE,2019-11-24T14:34:32.000Z,En_ti_estoy
