author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,description,verified,created_at.y,location,username
101909945,1382553123999391744,2021-04-15T04:35:26.000Z,es,@louisdegrange @metrodesantiago Eso no sirve si va lleno todo los días. Eso debiese ser por viaje,0,0,0,0,Anny ,"","",FALSE,2010-01-05T00:47:12.000Z,"",anity76
1023392402441162752,1381786541283012608,2021-04-13T01:49:18.000Z,es,Gran recuerdo de la presentación de @louisdegrange para el programa de productividad. Excelente aporte al desarrollo y formación de futuros ingenieros industriales. Gracias @helmmj https://t.co/2JTm4VS6W2,0,0,2,0,Brodillo,https://t.co/J3JyL9hx8f,Presidente Consejo de Especialidad Industrial. Colegio de Ingenieros de Chile,FALSE,2018-07-29T02:18:57.000Z,"Ñuñoa, Chile",Brodillo1
1040268758483443712,1382336299793838082,2021-04-14T14:13:51.000Z,es,@louisdegrange @QuePasaCL Noticias callamperas.,0,0,0,0,Patricio Banda,https://t.co/pNkdZfE5rs,Fotógrafo Obrero,FALSE,2018-09-13T15:59:34.000Z,Borde exterior. ,PatoBanda2
106287703,1382304355341189127,2021-04-14T12:06:54.000Z,es,"@louisdegrange @metrodesantiago Seamos sinceros y bajemos la protección a 30 dias, ""real""",0,0,0,0,esteban aravena,"","de una linea como dijo el diego.. rojo hasta la muerte, jamás inzurdo, aGuante el pueblo",FALSE,2010-01-19T02:34:14.000Z,Santiago de Chile,esteban_aravena
1072538881541750785,1382142365981368321,2021-04-14T01:23:13.000Z,es,"@louisdegrange @QuePasaCL Metro permite democratizar las ciudades. Hace que lugares olvidados revivan como ha ocurrido con las nuevas líneas. Sería un gran aporte país tener un tren rápido de norte a sur, que uniera el país.",1,0,3,0,GemaAvila,"","",FALSE,2018-12-11T17:09:30.000Z,"",Gema44455324
1082994683742224385,1382086415169810436,2021-04-13T21:40:53.000Z,es,"@louisdegrange @QuePasaCL ¿Era la educación, la mejora de la vivienda, mejor salud, elevar las pensiones? No, la ""gran solución"" es extender el Metro. Ni Trump, ni Bolsonaro ni KKKast se atrevieron a tanto.",4,0,12,0,Gabriel4824,"","",FALSE,2019-01-09T13:37:08.000Z,"Santiago, Chile",Gabriel48241
1092143781573468161,1381284152490725380,2021-04-11T16:32:59.000Z,es,@josemdelpino @louisdegrange De dónde surge qué reduce en un 💯 la posibilidad de un cuadro grave ? Cuál es la fuente?,0,1,1,0,Puerto principal,"",Porteño que rechaza una nueva constitución,FALSE,2019-02-03T19:32:23.000Z,Olmue,PrincipalPuerto
1134675378,1382052787656257540,2021-04-13T19:27:16.000Z,es,@louisdegrange @QuePasaCL Estudiantes migrantes!!! Estudiantes transhumabres!!!. Condenados todos los cantos chicos a usar metro y pelearse los cupos en los colegios municipalizados de el otro chile.,2,0,2,0,rosita maria,"","",FALSE,2013-01-30T17:26:48.000Z,"",RoseRdiazroco
1183905187443937280,1382024403458854915,2021-04-13T17:34:29.000Z,es,"@alexisvasquezg @louisdegrange @EstradaClarke @QuePasaCL Lo qué pasa @louisdegrange Santiago en Chile, no vee más allá de su nariz, con la capacidad que dice tener perfectamente podría acercar Chile de infinitas maneras",2,0,6,0,Rolando Garces N,"","De cuatro puntos distintos, igual que la cruz de Cristo... ay Angol la cosas que tienes tú y que no tiene otro pueblo...",FALSE,2019-10-15T00:39:36.000Z,"",RolandoGarcesN1
1185881141825417216,1381404879667748864,2021-04-12T00:32:43.000Z,es,@PrincipalPuerto @josemdelpino @louisdegrange Son los estudios clinicos que se hicieron por el laboratorio en distintos países.,0,0,0,0,Yanomas,"",Paz y entendimiento,FALSE,2019-10-20T11:31:31.000Z,"",Yanomas69427664
1186363386491297793,1382066897433333765,2021-04-13T20:23:20.000Z,es,"@louisdegrange @QuePasaCL Creando la rueda, fantasístas qlios. Venden humo",0,0,0,0,Raz PUTIN,"",Para q nunca más en CHILE,FALSE,2019-10-21T19:27:42.000Z,"",RazPUTI78500688
118736629,1382097377994113034,2021-04-13T22:24:27.000Z,es,"@louisdegrange @QuePasaCL O sea los mejores trabajos, colegios, universidades están fuera de la periferia ? Mish algo que no sabíamos 🤦🏻‍♂️... segregación de la población y centralismo ..",1,0,1,0,Klgo Gershon Silva,"","Kinesiologo, Magister Kinesiología Deportiva UDLA-UEM-Real Madrid, Docente Universitario. International Instructor Precuttape SpiderTech .",FALSE,2010-03-01T16:09:56.000Z,"San Miguel, Chile",GershonSilva
1191551436150190080,1384137795988459526,2021-04-19T13:32:21.000Z,und,@sebastianpinera @GloriaHutt @J_LDominguez @Pedro_Errazuriz @patricio_perezg @GrupoEFE @JCJobet @MinEnergia @CarolaSchmidtZ @MMAChile @MTTChile @amorenocharme @mop_chile @louisdegrange @corelosrios @core_los_lagos @COREsantiago @UAustraldeChile @ULagosOficial @CORECoquimbo 🚅👇 https://t.co/9jlyuombl7,0,0,0,0,@Aguilas0,"",Cuidemos el medio Ambiente. La Pasión por los Trenes. y que viva El Rock 🎸,FALSE,2019-11-05T03:03:19.000Z,"",Aguilas010
1199030822424260611,1382112638516215808,2021-04-13T23:25:06.000Z,es,@louisdegrange @QuePasaCL Jajajajajajaja imbécil!,0,0,0,0,LeydelCancer,"","#APRUEBO

campaña x ley de retiro fondos previsionales.

#APRUEBO #CC",FALSE,2019-11-25T18:23:27.000Z,santiago,Leydelcancer
120104729,1382051916222447616,2021-04-13T19:23:48.000Z,es,"@louisdegrange @QuePasaCL Wuau....y siguen siendo pobres igual, Gil. Mientras el colegio les quede a kms, la inequidad será la misma.",0,0,0,0,carlos rodriguez v,"",Del Eterno Campeón. Nunca por la derecha.,FALSE,2010-03-05T13:41:33.000Z,"Calera de Tango, Stgo de Chile",carluco76
1202799253707472896,1382170613494771712,2021-04-14T03:15:28.000Z,es,@louisdegrange @QuePasaCL Creo que el problema es porque necesitamos tanta movilidad porque se debe viajar horas para llegar al trabajo a la casa de estudios al colegio al jardín tenemos un problema más redes solo mantienen los i dices de contaminación una correcta planificación urbana inclusiva es logro,1,0,1,0,croa.cl,"",Noticias Generales Humanitario Imágenes Interesantes Literatura Historia,FALSE,2019-12-06T03:57:51.000Z,Chile,ClCroa
1202801268520914944,1382565115166404609,2021-04-15T05:23:04.000Z,es,@louisdegrange @metrodesantiago es mucho más importante asegurar umbrales máximos de ocupación por carro (distancia fisica) y aún más clave: asegurar ventilación adecuada en cada carro,0,0,0,0,alejandro.dussaillant-j,https://t.co/dlSiwaF2lT,"fortunate father & husband, engineer hydrologist, collaborative researcher, I try to balance self-confidence with self doubt..sognatore fino alla morte",FALSE,2019-12-06T04:06:05.000Z,"London, England",rios_lab
120311814,1379815248924925953,2021-04-07T15:16:05.000Z,es,"@pgselles @metrodesantiago @louisdegrange, algo más que señalar?",0,0,0,0,MhDH,"",Cuatro mil trescientos cuarenta y cuatro mil ... millones coma cinco razones para tuitear. AP #troskodederecha #Gremialista. #Colocolino,FALSE,2010-03-06T02:36:24.000Z,"",EmeHacheDeHache
1206313110,1382134233146216450,2021-04-14T00:50:54.000Z,es,"@UNESCO_es @louisdegrange Si pero inteligentemente, como es posible que no haya sido virtual después de Semana Santa, como es posible que compartan vehículos y nadie verifica la ventilación de ellos.",0,0,0,0,Separador autopista,"","(unipersonal) 24000 árboles, área aprox. 600.000 m2. Patrimonio ecológico bogotano a reemplazar por autopista subsidiada.",FALSE,2013-02-22T00:04:33.000Z,"Bogotá, D.C., Colombia",SAutonorte
1215826854961123330,1381801577044922368,2021-04-13T02:49:03.000Z,es,"@Dreadseba25 @metrodesantiago El Twitero que pone metro Solo se hace el lindo con las minas. Además no lo tienen para solucionar problemas..solo lo tienen para publicar mjes e información que lo mandan, el es el jefe 👉 @louisdegrange",0,0,0,0,Arbitr@_$@ker@,"","",FALSE,2020-01-11T02:45:01.000Z,"",Al3JanD50127689
