author_id,lang,created_at.x,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,username,verified,created_at.y,name,description,url
102472005,es,2021-04-21T04:58:30.000Z,1384733260044021762,"@NegritoQMP @biobio @Claudia_Mix No va a caer, no hay motivos constitucionales para ser destituido. Ese es el sueño húmedo de los zurdos, pero no será así. Piñera por muy desagradable que pueda ser ganó en una elección abierta y democrática y ese mandato termina en marzo del 2022. Sigue soñando.",0,1,1,0,cbusca1970,FALSE,2010-01-06T20:34:41.000Z,Carlos Bustos,"Soy Chileno. Ex Bombero Orgulloso.TEMUQUENSE DE TOMO Y LOMO. “They may take our lives, but they’ll never take our freedom!”",""
1131327622728880129,es,2021-04-21T03:58:54.000Z,1384718258356596736,"@biobio @Claudia_Mix La cara de sapo ,la 1% del Fraude amplio.",0,0,3,0,Patthy1477,FALSE,2019-05-22T22:34:59.000Z,🌸M.p.A🌸🐝🇨🇱💚#rechazo!!🇨🇱👍,me encanta el arte y leer 🎨 #Gemenis,""
1150426103410020352,und,2021-04-21T04:14:06.000Z,1384722085281505280,@pavivina @teanval0207 @CristyWeed87 @MacarenandreaLB @Pklesse @Nanditamc @AnaMariaGazmuri @carito69696969 @CATA_a_secas @solangeabogada @mirasanjuan @SoaCarolinaWM @connieachurra @imoa1971 @faltaderespeto @Alejand99194087 @MaitePG2 @carodream1 @Licomita @Rojafilosofa @Vyky65982964 @AgripinaDulce @kparedesl @Tati_Reloaded @AnitaBohemia @neva_carrillo @andyzukita @Nanku85415259 @DiablitaCL @totolucha777 @vial_marta @angiesaavedrag @C0N5UEL0 @KattKuyen @SaryOasis @CristiCMoris @Claudia_Mix @withmenot2 @RockcioMercury @pablinaramirezp @laCaroAndrea10 @Algarrobo_Top @carlydani  @inoxidable_2 @Intensa_mente__ @Picarona666 @Marian_delcampo @CampitosAndre @paodbchile @teanval0207,0,0,3,0,Eli_vvv,FALSE,2019-07-14T15:25:31.000Z,Eli,"Sígueme, si quieres ✌️
 Ig @elizbth_vera",""
1150881997063163904,es,2021-04-21T05:07:29.000Z,1384735516822749184,"@biobio @Claudia_Mix Esta chancha por sus dichos de un año y pico atrás, esta aún a merced del desafuero.
@arielroberts @TIO_LEGUAS @Karolcacerola @dagaemcri",0,0,2,0,eladiofloresHu1,FALSE,2019-07-15T21:37:05.000Z,Mayoneso,"Aún no saben? Está todo escrito, y Tiresias ya lo sabía.",""
1160390317843124224,es,2021-04-21T05:23:04.000Z,1384739439277117441,"@biobio @Claudia_Mix Que se lo tome con un poco de humor, porque es mejor... Con mucho humor y cariño https://t.co/YfFfyFufAO",0,0,0,0,Francis77024173,FALSE,2019-08-11T03:19:45.000Z,Panshop del Sur,Tri campeones la 15 llegó grande Cato,""
1176113006184488960,es,2021-04-21T03:49:56.000Z,1384716004601782272,"@Claudia_Mix ""Piñera""   ...........El Rey Desnudo,;.  y
Su realidad distópica ,..
Imprime dolor a sus pares en busca de una retribución de aceptación.",0,0,0,0,keko21210707,FALSE,2019-09-23T12:36:17.000Z,kekoBowmanbotaelmono,🤔,""
1185005277243944960,es,2021-04-21T04:20:16.000Z,1384723635110170627,@cbusca1970 @biobio @Claudia_Mix Igual va a caer el tirano,0,2,2,0,NegritoQMP,FALSE,2019-10-18T01:30:58.000Z,Black Cop Killer ✊🤟,"Patipelao, quiltro y callejero. Gueno pa las marchas y buscando mayor equidad social para los abandonados del país.",""
1189242188967886848,es,2021-04-21T03:51:49.000Z,1384716477912154116,@biobio @Claudia_Mix Los mismos que apoyan el populismo de la izquierda son quienes estarán pidiendo asilo en el extranjero para no morir de hambre,0,0,0,0,DavidCa72494289,FALSE,2019-10-29T18:06:57.000Z,David C,Empresario emprendedor amante de la naturaleza,""
1190462516951994368,es,2021-04-21T03:58:32.000Z,1384718165578506241,"@biobio @Claudia_Mix Un chiste, pero malo.
Por paradójico que resulte el tema, quieren acusar constitucionalmente a alguien por tratar de hacer cumplir la Constitución ...",4,0,7,0,UnTipoComnyCor1,FALSE,2019-11-02T02:56:12.000Z,Un Tipo Común y Corriente,Chile es y será un país en Libertad.,""
1192854778092642304,es,2021-04-21T05:37:51.000Z,1384743159461203968,"@JFCuevasVila @Claudia_Mix Porque le mienten a la gente, lo de hoy esta dentro de las facultades del 31 CPR aún vigente y la potestad reglamentaria del Presidente de derecha o izquierda, hemos estudiado, basta de populismo si es LOC.",0,0,0,0,prossopon,FALSE,2019-11-08T17:22:16.000Z,Prossopon,"amar, trabajar y estudiar",""
120271876,es,2021-04-21T04:11:13.000Z,1384721359943655431,"@reinaldotapiah1 @Claudia_Mix En las urnas habrá que recordarlos para botarlos y no votarlos, amarillos cobardes",0,0,0,0,aloa20,FALSE,2010-03-05T23:48:36.000Z,Eduardo Vargas,"No se puede seguir pactando con cualquiera ni haciendo alianzas de mentira, enemigo de lo menos malo ✊",""
120271876,es,2021-04-21T04:07:00.000Z,1384720296532398081,"@Claudia_Mix Ahora sabremos quién es quién pues. Son demasiados los abandonos de deberes de la parte del Presidente, vive haciendo ofertones y humillando a la gente.",0,0,0,0,aloa20,FALSE,2010-03-05T23:48:36.000Z,Eduardo Vargas,"No se puede seguir pactando con cualquiera ni haciendo alianzas de mentira, enemigo de lo menos malo ✊",""
120271876,und,2021-04-21T04:09:02.000Z,1384720810208866306,@RodrigoCEsteban @Claudia_Mix Qué!!!?,0,1,0,0,aloa20,FALSE,2010-03-05T23:48:36.000Z,Eduardo Vargas,"No se puede seguir pactando con cualquiera ni haciendo alianzas de mentira, enemigo de lo menos malo ✊",""
1211390251135987712,es,2021-04-21T04:10:39.000Z,1384721214451691520,@biobio @Claudia_Mix Chancha mal parida,0,0,1,0,McmJohan,FALSE,2019-12-29T20:55:43.000Z,JohanMcm2.0 \U|C/ de ♥-👮💚,"Ing. Comercial, Analista y Empremdedor, de Derecha. Cruzado de Corazón. Pertenezco al 22% que no le metieron el pico en el ojo. Zurdos, pasen de largo.",""
1219330602576568322,und,2021-04-21T05:01:41.000Z,1384734058685640706,@Claudia_Mix https://t.co/cfqnGbY8u4,0,0,0,0,europman1706,FALSE,2020-01-20T18:47:31.000Z,💚Europman1706 💚,💩=pc,""
1219330602576568322,und,2021-04-21T04:59:43.000Z,1384733562960818176,@Claudia_Mix https://t.co/dpw5ymgcjz,0,0,0,0,europman1706,FALSE,2020-01-20T18:47:31.000Z,💚Europman1706 💚,💩=pc,""
1222936016279031809,es,2021-04-21T04:32:28.000Z,1384726707383459841,"@biobio @Claudia_Mix AHORA A VIGILAR A LAS RATAS DE LA ""oposición"" QUE SE NIEGUEN 👀 
nombre apellido y dirección de los csm que se nieguen",0,0,0,0,ElLagar76119841,FALSE,2020-01-30T17:34:16.000Z,El Lagarto #Aprobó 💪,"Viva el humor sin Censuras
Para un Cambio Real Yo #Apruebo",""
1233028012897116160,es,2021-04-21T04:20:14.000Z,1384723627103318017,"@biobio @megamentirascl @Claudia_Mix Los Politicos no harán NADA por nosotros. Rajaran vestiduras , simularan estar indignados pero solo es show para las cámaras, a ellos las decisiones de Piñera no les afectan, no olviden q ganan MILLONES.
#ParoNacional",0,0,0,0,romanho15,FALSE,2020-02-27T13:56:23.000Z,romanho,"Chilean artist and designer based in the United States.
Check me on https://t.co/n9vRRtPzd5",""
1233804417679257600,es,2021-04-21T04:12:05.000Z,1384721575220416517,@Claudia_Mix Cada día a mas distinguida usted... 🥴,0,0,0,0,RustyJa68934188,FALSE,2020-02-29T17:21:21.000Z,Rusty James,My hermano era motociclista y daltónico. Saying ain’t doing.,""
1237772827996160010,es,2021-04-21T04:00:45.000Z,1384718724008226817,"@Claudia_Mix Lo intentamos como nunca, pero lo hicimos como siempre. 😒

Si con ese trasfondo persiguen las contribuciones en el barrio alto, ya me explico porqué recaudan tan poco.",0,0,0,0,Ingelosofo_91,FALSE,2020-03-11T16:11:13.000Z,Leri' π 🦠 🧴,"Basket' frustrado. Filosofante 16/7
z🤘rdo, ♻ 3-RE, donante...

Dime sandeces -pero que sean de tu boca- y soy capaz de darte un beso.
Fiódor Dostoievski 🇷🇺",https://t.co/LFPHDV7nC9
1242208346947702786,es,2021-04-21T04:31:14.000Z,1384726397743210501,"@Claudia_Mix Que horror, me llegue a asustar con el video.",0,0,0,0,AntonioGanaV,FALSE,2020-03-23T21:55:32.000Z,Antonio Gana,Ingeniero Comercial - Magister en Finanzas - UAI,""
1256272233921642497,es,2021-04-21T03:47:20.000Z,1384715350311329793,@Claudia_Mix Póngase un tapa bocas por favarrrrr señora   Caen salivas 😎igual acusar constitucionalmente por respetar la constitución 🤔. Que nivel la ñora esta,0,0,0,0,joshhh1973,FALSE,2020-05-01T17:20:33.000Z,CAZA DELINCUENTES Y PC 🇨🇱,"",""
1260244320151654405,es,2021-04-21T05:43:52.000Z,1384744675916066817,@cbusca1970 @NegritoQMP @biobio @Claudia_Mix El consuelo del facho! Recuerda que nunca derecha. 😂,0,0,0,0,Iebaeze,FALSE,2020-05-12T16:24:01.000Z,#YOAPROBÉ 😎,"-CUARTA CUENTA X PALABREARME A WEONES (DEL CONGRESO Y GOBIERNO) 🤦🏻

-CHILENO NORMAL 🏳️‍🌈👍

-PADRE 🐶

-ME CARGA LA UDI 🚫",""
1266790509286174724,es,2021-04-21T05:06:55.000Z,1384735374212222977,"@MadamaDel22 @biobio @Claudia_Mix La constitución está negando el pan al pueblo, eso es indigno para cualquier país.",0,0,0,0,SaveSilence,FALSE,2020-05-30T17:56:36.000Z,LeCheems,"facho culiao que veo, facho culiao que bloqueo",""
1266790509286174724,es,2021-04-21T05:02:57.000Z,1384734379742744579,"@RobertoTrivinos @biobio @Claudia_Mix Cuando esa misma constitución está impidiendo que miles de familias tengan derecho a SU DINERO, entonces esa carta magna no sirve de nada y se convierte en un enemigo del pueblo.",0,1,0,0,SaveSilence,FALSE,2020-05-30T17:56:36.000Z,LeCheems,"facho culiao que veo, facho culiao que bloqueo",""
1266790509286174724,und,2021-04-21T05:00:13.000Z,1384733690811621377,@biobio @Claudia_Mix #RenunciaPiñeraCTM,0,0,0,0,SaveSilence,FALSE,2020-05-30T17:56:36.000Z,LeCheems,"facho culiao que veo, facho culiao que bloqueo",""
