author_id,text,lang,id,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,username,name,description,created_at.y,verified,url
101036160,@SoaCarolinaWM @javiparada @ignaciobriones_ Que bajeza de comentario el tuyo..,es,1384716259493916672,2021-04-21T03:50:57.000Z,0,0,0,0,tamarbecerra,QuEdAtEnCaSa💚💚💚,"Doglover, mamá de 5 🐾, amante de la naturaleza, la música y el deporte.🎤🏋🏼",2010-01-01T19:00:58.000Z,FALSE,""
1021464919970074624,"@dmorenoh @javiparada @ignaciobriones_ Y la voluntad de cambiar una sociedad y un sistema con profundas desigualdades entre sus ciudadanos, arrastradas por décadas.",es,1384751812067139587,2021-04-21T06:12:14.000Z,0,0,0,0,rcornejocaceres,Rigoberto Cornejo Cáceres,"Ciudadano. Colchagüino de nacimiento. Dígame Rigo, si quiere.",2018-07-23T18:39:49.000Z,FALSE,""
1021464919970074624,"@dmorenoh @javiparada @ignaciobriones_ No insinúo nada. Lo digo abiertamente, porque es de conocimiento de todo Chile: Blumel era el Ministro del Interior y de Seguridad Pública cuando sucedieron los hechos de violaciones a DDHH. Como tal, sí le cabe responsabilidad en el actuar de la fuerza pública (+)",es,1384751031955951621,2021-04-21T06:09:08.000Z,0,1,0,0,rcornejocaceres,Rigoberto Cornejo Cáceres,"Ciudadano. Colchagüino de nacimiento. Dígame Rigo, si quiere.",2018-07-23T18:39:49.000Z,FALSE,""
1021464919970074624,"@dmorenoh @javiparada @ignaciobriones_ Por todos conocidos. Y no dejaron sus cargos: Blumel renunció por otras razones, eminente% políticas cuando el gobierno perdió frente a la aprobación del primer retiro del 10%.

Deshonesto es que ahora, Blumel vaya de candidato a la CC (+)",es,1384749589551517697,2021-04-21T06:03:24.000Z,0,1,0,0,rcornejocaceres,Rigoberto Cornejo Cáceres,"Ciudadano. Colchagüino de nacimiento. Dígame Rigo, si quiere.",2018-07-23T18:39:49.000Z,FALSE,""
105628112,@lmrendon @CarlosAmpuero @javiparada Andate a la x..@javyparada,es,1384724850581856256,2021-04-21T04:25:05.000Z,0,0,0,0,pochyta7,Sixtina Soto,"Mamá del Jojo, Consuelo y Fran. Iquiqueña de adopción y de corazón",2010-01-16T23:53:20.000Z,FALSE,""
1057301210431143937,"@javiparada @ignaciobriones_ Cual es la idea de dinamitar se junto a un candidato fracasado?
Plata?",es,1384734252076617734,2021-04-21T05:02:27.000Z,0,0,0,0,VdeV22449512,La Tia de la Cocina 🌭🌭 #EnDictadura,"Si los completos financian el deporte, la salud y la educación, también van a financiar la revolución!!
El Covid-19 será la tumba del capitalismo!!",2018-10-30T16:00:27.000Z,FALSE,""
1064697978680692737,@javiparada @ignaciobriones_ https://t.co/UxbsjMnmAV,und,1384721584179589123,2021-04-21T04:12:07.000Z,0,0,0,0,crxs_tian,cristian,me gustan más las libertades positivas que las negativas 🏳️‍🌈,2018-11-20T01:52:34.000Z,FALSE,""
107416817,"@neuro_p_salinas @javiparada Puede ser y hacer lo que se le cante. Feliz que se vaya con Briones, una cuota de incompetencia menos que cumplir en la centroizquierda, que por lo demás si estuviéramos en Francia la izquierda chilena serie de derecha.",es,1384715975166238725,2021-04-21T03:49:49.000Z,0,0,0,0,PatricioDonas,Patricio Donald,"",2010-01-22T13:55:10.000Z,FALSE,""
1081292496506941441,"@rioyleo @javiparada @ieschile @ceaceotres @radiosanjoaquin Y tú hablando de ""todo Chile"". Andá 🙄",es,1384747656963100673,2021-04-21T05:55:43.000Z,0,0,0,0,joselitohuasca,josé,Defínalo,2019-01-04T20:53:15.000Z,FALSE,""
1087524301,@javiparada @ignaciobriones_ Vendida,et,1384718947442909186,2021-04-21T04:01:38.000Z,0,0,0,0,EduuuCampos,Campos Eduu,🤡,2013-01-13T23:36:04.000Z,FALSE,""
