author_id,text,id,lang,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,created_at.y,description,verified,username
1002344005,"@MVUM @pablo_nilo @evelynmatthei Hola Verónica, así es, contamos con segundas dosis de sinovac en todos nuestros puntos de vacunación, te recordamos que el horario de atención es de lunes a viernes de 10 a 15 hrs. https://t.co/4t752tH6Ch",1384587446453669888,es,2021-04-20T19:19:06.000Z,0,1,0,0,muni_provi,https://t.co/nRE74AFG1y,2012-12-10T19:37:27.000Z,Cuenta Oficial Municipalidad de Providencia. Atención RRSS: Lunes a Viernes de 09 a 18 horas. Información de servicios y actividades. Para emergencias ☎al 1414.,FALSE,Muni_provi
1002344005,"@priquelmesnm @ministeriosalud @evelynmatthei Hola Patricia, lamentamos lo ocurrido, te comentamos que esta semana la corresponde inoculación a rezagados de 48 años o más. Te invitamos a seguir atenta a nuestras redes sociales donde iremos entregando nuevas fechas de vacunación. Buenas tardes.",1384547555606937602,es,2021-04-20T16:40:35.000Z,0,1,0,0,muni_provi,https://t.co/nRE74AFG1y,2012-12-10T19:37:27.000Z,Cuenta Oficial Municipalidad de Providencia. Atención RRSS: Lunes a Viernes de 09 a 18 horas. Información de servicios y actividades. Para emergencias ☎al 1414.,FALSE,Muni_provi
1002344005,"@bernipinto @evelynmatthei Hola Berni, nos alegramos que te hayas inoculado, que tengas buenas tardes 💪👏",1384547686490247179,es,2021-04-20T16:41:06.000Z,0,0,3,0,muni_provi,https://t.co/nRE74AFG1y,2012-12-10T19:37:27.000Z,Cuenta Oficial Municipalidad de Providencia. Atención RRSS: Lunes a Viernes de 09 a 18 horas. Información de servicios y actividades. Para emergencias ☎al 1414.,FALSE,Muni_provi
1026524923576111105,@evelynmatthei Así es la justicia poh ... imagínese que los militares golpistas murieron tranquilos en sus casas ¡¡¡,1384631196504760320,es,2021-04-20T22:12:57.000Z,0,0,3,0,Ciudadano Promedio,"",2018-08-06T17:46:28.000Z,"De chiquitito zurdo ... Somos personas, no consumidores ¡¡¡",FALSE,regularcorto
109625856,@evelynmatthei Hay que preocuparse de las fiestas y reuniones clandestinas. Ahí andamos maoma.,1384595595864776704,es,2021-04-20T19:51:29.000Z,0,0,0,0,Oscar Ariztía,"",2010-01-29T18:12:05.000Z,https://t.co/18adTC8Ygb,FALSE,Oscar_Ariztia
1124672234713432065,@evelynmatthei @TeopsicoM ...Sin comentarios.. https://t.co/IPBukSbsEL,1384711275373023240,es,2021-04-21T03:31:09.000Z,2,0,0,0,Viktor,"",2019-05-04T13:48:50.000Z,"De paso en esta vida como todos ustedes, el tiempo es el mismo, las personas cambian..Creo en Dios, en mi hermosa Patria y en la Familia...🇨🇱🍀🎋..",FALSE,libertad396
1136013194525335558,@GobiernodeChile @desbordes @LavinJoaquin @evelynmatthei https://t.co/39we4pKfmQ,1384676582380474369,und,2021-04-21T01:13:17.000Z,0,0,0,0,DARKSOUL,"",2019-06-04T20:53:46.000Z,"Nos costó una DICTADURA, un ESTALLIDO SOCIAL y una PANDEMIA, entender que la derecha FASCISTA, NO DEBE volver a gobernar NUNCA MÁS!!!",FALSE,DarkSoul37123
1136013194525335558,@GobiernodeChile @desbordes @sebastianpinera @LavinJoaquin @evelynmatthei https://t.co/4KENTOBexh,1384627909621690368,und,2021-04-20T21:59:53.000Z,0,0,0,0,DARKSOUL,"",2019-06-04T20:53:46.000Z,"Nos costó una DICTADURA, un ESTALLIDO SOCIAL y una PANDEMIA, entender que la derecha FASCISTA, NO DEBE volver a gobernar NUNCA MÁS!!!",FALSE,DarkSoul37123
1138997013683593216,@evelynmatthei La. La de trabajadora q se traslada en micro o metro vive en otras comunas por favor abran los ojos por la xuxa,1384617725234974722,es,2021-04-20T21:19:25.000Z,0,0,0,0,el47,"",2019-06-13T02:30:24.000Z,Me gusta dedicar el tiempo a mi familia y amigos,FALSE,el475
1177511762473603072,@evelynmatthei https://t.co/vX9pk6vElW quisiera concentrarme en vivir ni casa tengo gracias al gobierno robándome en #Saludmental por tener dones + talentos y! nos mintieron tanto Sres. y mas ricos en el planeta? #Dios están abusando =( 550 días aguantando vivir esperando lo que no han dado?,1384630626620526598,es,2021-04-20T22:10:41.000Z,1,0,3,0,DIOS+MIEDO🙏🕊️🌏⏭️🇨🇱⏳🌱,https://t.co/eqdaI37rz8,2019-09-27T09:14:27.000Z,"DIOS EXISTE, EL AMOR  TAMBIÉN,NOSOTROS EN HUMANIDAD  VES+56987793925 Help PAZ, VIOLADO POR DDHH SALUD Y ECONOMÍA Y EMOCIONES 😢🌎🙏🌱❤💛
🙏  ASPERGER+? SENTÍR",FALSE,Adhrstudio1
