author_id,created_at.x,text,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,name,username,created_at.y,url,description
1001501534134394891,2021-04-15T14:20:23.000Z,@ncastilo @ElnuevoTrato @pablovidalrojas @abernales @vladomirosevic Háganlo en sus rrss llega a más personas y pueden decir lo que quieran! Éxito y paciencia entre tanto facho... nota: me esta interesando la candidatura de @pablovidalrojas 🤭,1382700332313108486,es,0,0,4,0,FALSE,Alex G,gaticamolinalex,2018-05-29T16:32:27.000Z,https://t.co/TtYrPG3Ngx,"Casi Ingeniero (E) en Administración de Empresas, Mención Comercio Internacional. #Bacheletista"
1022994834,2021-04-20T18:59:18.000Z,"Diputado @abernales pidió sesión especial por #muertemasivadesalmones.
El parlamentario por la región de #LosLagos se refirió a la compleja situación que se registra también en Aysén @Camara_cl @Gabanu 🎙
 https://t.co/btpp2qnmgw",1384582463129849861,es,1,0,1,0,FALSE,RadioCámaraDiputados,RadioCamara_,2012-12-19T22:20:20.000Z,https://t.co/coQ6wA0Bds,"Twitter Oficial.Radio @CamaraDiputados y Agencia Audio Legislativa Gratuita Material audio para periodista,medios de comunicación y ciudadanía radio@congreso.cl"
1022994834,2021-04-20T23:38:59.000Z,Hoy en #CámaraenlaRadio conversamos con el diputado @abernales (LIBERAL) sobre la masiva muerte de salmones en el sur del país @Camara_cl @Gabanu 🎙https://t.co/r9HwPm82Ll,1384652847925628928,es,4,0,2,0,FALSE,RadioCámaraDiputados,RadioCamara_,2012-12-19T22:20:20.000Z,https://t.co/coQ6wA0Bds,"Twitter Oficial.Radio @CamaraDiputados y Agencia Audio Legislativa Gratuita Material audio para periodista,medios de comunicación y ciudadanía radio@congreso.cl"
1033447465742204928,2021-04-20T20:52:50.000Z,"@abernales @vladomirosevic @Liberales_Chile @samuelgalvezd @ale_injoque @pablovidalrojas @ElnuevoTrato @ncastilo @JMGalloConcejal @feliperamos1980 @Giovimoreira cuando veremos la eutanasia del fa, empecemos por nosotros mismos , un ejemplo a la sociedad seria genial de parte de ustedes",1384611035760500736,es,0,0,0,0,FALSE,Jorge Flores,JorgeFl69744910,2018-08-25T20:14:11.000Z,"",Lucho por lo justo y cierto
1064913018667044865,2021-04-15T16:54:26.000Z,"@ncastilo @ElnuevoTrato @pablovidalrojas @abernales @vladomirosevic Natalia con mucho respeto, no le da vergüenza apoyar al que tanto recuerdan en rucalhue?

Mas pudor porfa 📲",1382739099988148231,es,0,0,0,0,FALSE,Christian,MeChristianes,2018-11-20T16:07:03.000Z,"",🛸
107767104,2021-04-15T15:23:24.000Z,Muy bien el diputado @abernales 👏,1382716193589620744,es,0,0,0,0,FALSE,Jonathan Carrasco,JcarrascoP,2010-01-23T17:21:01.000Z,"","Ingeniero Financiero y Contador General. 33 años. Libertad, Igualdad y Fraternidad. #ElFuturoEsLiberal. Socio del @CSDColoColo ❤️"
1079821466764492800,2021-04-15T00:56:36.000Z,"@PabloVidal2022 @pablovidalrojas @ElnuevoTrato @Liberales_Chile @ncastilo @Gerardo_Arica @cn_castro @ale_injoque @vladomirosevic @cotecumplido @abernales Payaso tarado y vago otro chiste. 
Estúpido 🤮🤮🤮🤮🤮",1382498054905954309,es,0,0,0,0,FALSE,JOAQUÍN MILLARES 🇨🇱,MillaresJoaquin,2018-12-31T19:27:54.000Z,"","Cristiano,conservador,gremialista,militante udi"
109306061,2021-04-15T02:05:14.000Z,"@abernales Cuál es el actor de amor? Qué pasa con aquellos pacientes q sufren del dolor de su enfermedad, pero q tienen demencia o alzheimer? Quiénes deciden?
Preocupense se hacer políticas para aquellas personas que viven abandonadas y en la miseria para q mueran dignamente. Eso es amor.",1382515325070147585,es,0,0,0,0,FALSE,Pablo Muñoz,pabloantonio29,2010-01-28T16:34:29.000Z,"",Estudiante de Teología PUC. Católico. Futbolero.
1099045164847382532,2021-04-15T15:26:48.000Z,@abernales ¡Bien!..... Cortito pero macollao como diría mí papá el gran René Salinas. ¡Gracias !! #fuerapiñera #variantepiñera,1382717047042359297,es,0,0,0,0,FALSE,"Patricia Salinas,patipelá 🦊¡apruebo!¡Dignidad!",pacesmo,2019-02-22T20:36:01.000Z,"",Periodista. Aburrida de tanta feria humana y de correr tras entrevistados. A pata pela nunca ha sido fácil...!!!#Hasta que la Dignidad se haga costumbre..
1136080444032802816,2021-04-18T15:07:14.000Z,@DefendamsChiloe @GobiernodeChile @ximenaordenes @iallendebussi @adeurresti @ProhensFernand1 @Duranasenador @G_Ascencio @DiputadoBerger @jorbritoh @ricardocelis @diputadosantana @abernales @diputadorocaful @TohaGonzalez @quinterosenador @max_bello_m @TerramChile @elmostrador Eso eso,1383799286018629638,es,1,0,2,0,FALSE,PatagoniaSinSalmoneras,PSalmoneras,2019-06-05T01:20:59.000Z,"",""
