author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,created_at.y,username,location,verified,name,url,description
1005918268824137728,2021-04-21T03:38:38.000Z,1384713158892326913,es,"@V_Scose @milla_viera @pcayuqueo Callate ctm , hijo de piraña , basura mal hecha",0,0,0,0,2018-06-10T21:02:59.000Z,eltatan79,"",FALSE,Sebastian 🙈,"","Apasionado del fútbol,  hincha del más grande Chile , amante de los animales , ni de  derecha ni de  izquierda ."
104306208,2021-04-21T02:03:44.000Z,1384689276001128449,es,"@pcayuqueo @FTV_cl @PiaggioMarchant @pamelahn Cerro Cordillera alberga mil historias de gente luchadora, vida de barrio que solidariza con cientos de vecinos que escalan, día a día , mil peldaños para llegar a sus hogares.",2,0,2,0,2010-01-12T23:26:55.000Z,mariovalparaiso,"Las Condes, Chile",FALSE,Mario Alejandro #Constituyentesindependientes,"","Mi compañera es mi paz; mis hijos Camilo, Matías e Ignacio mis luchas, sueños y esperanzas. Con Valparaíso, S.Wanderers y el Eduardo de la Barra en mi corazón."
1130562372710686722,2021-04-19T14:18:09.000Z,1384149321717719045,es,@pcayuqueo Ni lo sentí 🤭,0,0,0,0,2019-05-20T19:54:09.000Z,MdanielaVega,"Melipilla, Chile",FALSE,MDaniela Vega,"","Madre TEA 💙, amante de los 😻, Melipillana de ♥️, Alboranista🎶"
1130562372710686722,2021-04-19T17:25:25.000Z,1384196449190043658,und,@pcayuqueo 🙄,0,0,0,0,2019-05-20T19:54:09.000Z,MdanielaVega,"Melipilla, Chile",FALSE,MDaniela Vega,"","Madre TEA 💙, amante de los 😻, Melipillana de ♥️, Alboranista🎶"
1134507894840467457,2021-04-19T23:57:46.000Z,1384295186981744644,es,"@jschaulsohn @pcayuqueo Si existían antes de la pacificación como nación, es de justicia el reconocimiento y la búsqueda de verdad histórica para el pueblo mapuche...",0,0,0,0,2019-05-31T17:12:15.000Z,DLarenas2,"",FALSE,David,"",lupus in fábula
1135596763564449795,2021-04-19T16:09:47.000Z,1384177417409892356,es,@MovNacRepublica @trafalgar73 @pcayuqueo tus comentarios hablan más de tí que de ella....,0,0,0,0,2019-06-03T17:19:01.000Z,MA_Salazar_F,"",FALSE,María Alejandra Salazar F.,"",Conafina de corazón. Forestín es mi copiloto
1181540977737162752,2021-04-20T00:52:07.000Z,1384308866700267521,und,@pcayuqueo 😂😂😂,0,0,0,0,2019-10-08T12:05:19.000Z,RicardoAracena,"",FALSE,Ricardo Aracena,"",cazador de experiencias....
1185918459147948033,2021-04-20T13:03:19.000Z,1384492877967994881,es,@BudiMapu @pcayuqueo Necesito mar!!!! Un abrazo!,0,0,2,0,2019-10-20T13:59:47.000Z,MoraimaParra2,"",FALSE,Moraima Parra,"","Mujer carnavalera y trabajadora social , con hambre de participación, organización y justicia social."
1188273312348155904,2021-04-19T14:28:40.000Z,1384151968025776128,es,@catyscarlet @pcayuqueo su ayuda plis,0,0,1,0,2019-10-27T01:57:02.000Z,gatto_alejo,"",FALSE,Alejandro,"","De suspensión en suspensión, Mi negra 🐱 se fue al cielo /
Soy del Colo y tengo aguante 🎶"
1191810871498039296,2021-04-20T16:16:06.000Z,1384541394208010244,es,@pcayuqueo O sea demos tribuna pública y medios para justificar y celebrar los 🐀 por el 🐸???,0,0,1,0,2019-11-05T20:14:00.000Z,PuebloEsAmor,"",FALSE,Paz_y_Amor,"",Busco la paz mundial
1195829833781129216,2021-04-19T21:03:01.000Z,1384251211000389634,es,@pcayuqueo Jejejeje,0,0,0,0,2019-11-16T22:24:22.000Z,thestgo33,"",FALSE,Miona Klein,"",APRUEBO
1217615447664877569,2021-04-20T13:40:14.000Z,1384502168657477634,es,"@pcayuqueo La verdad no me queda tan claro  que quiera elmer defender la libertad de expresión. Más bien quiere quedar como que si pero no. Faltó claridad y más firmeza.
Tengo todos tus libros eres un crá como dicen los argentinos.
Saludos",0,0,0,0,2020-01-16T01:12:11.000Z,AtalaMaturana,"",FALSE,Jorge Maturana Atala,"",leer e ir al teatro
1220199575996313605,2021-04-21T04:38:18.000Z,1384728176161656833,es,@milla_viera @pcayuqueo Mi presidente?..no es el mío....,0,0,0,0,2020-01-23T04:20:39.000Z,Viviana57013146,"",FALSE,Viviana Fernández-pinto,"","Made de 4 hijos, sureña,amante de la naturaleza, del rock setentero y siempre x la izq"
1222560254602379267,2021-04-20T13:05:18.000Z,1384493377928957952,und,@pcayuqueo https://t.co/bKhVxegX3F,0,0,1,0,2020-01-29T16:41:01.000Z,fumanjix,"",FALSE,FIIIUUUmanji,"",""
1222560254602379267,2021-04-20T13:45:46.000Z,1384503559400697858,und,@pcayuqueo https://t.co/ut3yVvucae,0,0,0,0,2020-01-29T16:41:01.000Z,fumanjix,"",FALSE,FIIIUUUmanji,"",""
1230879792427393025,2021-04-19T15:15:18.000Z,1384163703558316037,es,"@UFrontera @pcayuqueo Mis recuerdos a mi casa de origen profesional y apertura al mundo profesional...en aquellos años de fines de los 80 y los 90, mis saludos.",0,1,2,0,2020-02-21T15:39:58.000Z,Parendejoder1,"",FALSE,Parendejoder,"","psicólogo clínico, melómano, trosko en el pensar y en el actuar.
hijos, un gato y un perro
la salud mental es un derecho"
1232340500,2021-04-20T05:14:13.000Z,1384374825750310912,en,@pcayuqueo Andate !! #PineraMiserableCuliao #BonoClaseMediaRechazado https://t.co/qRC3JJnvZF,0,0,0,0,2013-03-02T01:16:59.000Z,CRIAN_UC,todos lados,FALSE,cristian 😈,"",feliz de tener buena salud para trabajar como esclavo para poder comer....
1237856479589195776,2021-04-20T13:40:27.000Z,1384502223854620675,es,"@pcayuqueo Verdad oficial o no, es criminal insistir en interpretar como justificable el asesinato, la tortura y la violación, todo esto no es equiparable a un intento de censura, todo mal con la editorial Pedro",0,1,2,0,2020-03-11T21:42:54.000Z,javiers28418304,"Cobquecura, Chile",FALSE,Santiago Vergara,"","arquitecto proyecto de carpintero, tengo que hacer mi casa"
