author_id,lang,text,id,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,description,created_at.y,username,verified,url
1014244092207869952,es,"@PCdeChile yaaaa aparecieron las ratas oportunistas, cagan todo",1384728401320292352,2021-04-21T04:39:12.000Z,0,0,0,0,Constanza,"Patriota🇨🇱
No le robo el pan a nadie, ni tampoco exijo que me lo regalen
#YoRechazoNuevaConstitución

MakeupLover👄❤
Chile🌻🌵🌞
Sagitario♐
24 años🌹",2018-07-03T20:26:50.000Z,ConniCortesJ,FALSE,""
1086686497829457920,und,@christian_67 @DerechaNews @mauro58VA @PCdeChile https://t.co/CIJ6IV4O2x,1384726122424905732,2021-04-21T04:30:09.000Z,0,0,0,0,Millen,"One life, One chance. amante de la música Straight Edge , y los tattoos, soltero con 2 hijas. Director Sindicato Xerox de Chile",2019-01-19T18:07:05.000Z,millenclonin,FALSE,""
1094372497485676547,es,"@CristianGarciaC @nayen_delnorte @PCdeChile @anefchile @japdebelli @Barbara_figue @Cutchile Cuando la @Cutchile elija a sus dirigentes democráticamente un asociado un voto pueden hablar de representar a l@s trabajador@s
Durante el 2020 totalmente desaparecidos mientras los trabajadores salíamos a exponer la salud y la vida.",1384719644745949185,2021-04-21T04:04:24.000Z,0,0,0,0,MaItHy,"",2019-02-09T23:08:30.000Z,malejan82609555,FALSE,""
1094372497485676547,es,"@nayen_delnorte @PCdeChile @CristianGarciaC @anefchile @japdebelli @Barbara_figue La @Cutchile estuvio escondida durante todo el 2020 mientras los trabajadores salíamos a arriesgar la salud y la vida
Durante la concertación estuvieron callados recibiendo el $$ de la moneda Lo único que tienen son EXCUSAS
Don Clotario Blest se debe estar revolcando en su tumba",1384718643695652866,2021-04-21T04:00:26.000Z,0,0,0,0,MaItHy,"",2019-02-09T23:08:30.000Z,malejan82609555,FALSE,""
111032669,es,@PCdeChile Desde manaña todos a acampar afuera del TC pacíficamente a hacer presión ¡¡... No nos moveran¡ https://t.co/ZVG9kyUu9c,1384713053321764866,2021-04-21T03:38:13.000Z,0,0,0,0,APRUEBO,Resurrección del pueblo?,2010-02-03T15:47:30.000Z,Guszalo,FALSE,""
1188535818803187712,es,@mariseka @Diputados_PC @daniel_nunez_a @PCdeChile @ValeMirandaCC @KarolCariola @carmen_hertz @jjcc_chile @DiputadoMoraga @luiscuellop @PrensaPCdeChile Y cual será la solución??,1384714681441529858,2021-04-21T03:44:41.000Z,0,0,0,0,Lichita,"",2019-10-27T19:20:09.000Z,lichitalau,FALSE,""
1189561247232155650,es,"ATENCIÓN: Los del movil @Movilh son degenerados, cochinos vulgares, los del @PCdeChile y @PSChile son narcos y terroristas, los del @inddhh son terroristas..ES PARODIA AH, no se enojen...",1384714142930640910,2021-04-21T03:42:33.000Z,0,0,0,0,Alejo,"Trabajador, Patriota y Anticomunista..",2019-10-30T15:17:37.000Z,eliomaximod,FALSE,""
1190982491416547328,es,"@PCdeChile Ahora se las dan amigos del pueblo, caso 30 años gobernando la izquierda y no hicieron ninguna mierda. No sean carerajas",1384728200291536897,2021-04-21T04:38:24.000Z,0,0,0,0,cvl,"Derechista al 100% si no lo puede tolerar mejor pase de largo y ni piense en webearme. 
Parte del 22% que no metieron el pico en el ojo",2019-11-03T13:22:17.000Z,27_clau_f_l,FALSE,""
1194092132300144640,es,@PCdeChile Y que podrá retirar la mujer a la cual no le pagaban las imposiciones? https://t.co/MjKbO8kLwr,1384747004119683072,2021-04-21T05:53:07.000Z,0,0,0,0,Andrés,"Nada más importante que la Libertad individual. No me interesa ganar debates, pero sí aprender se ellos.",2019-11-12T03:20:30.000Z,Permiso12,FALSE,""
1195394027853627392,es,"@PCdeChile @elfrente_amplio 
@carmen_hertz 
APRENDAN DE SU PADRE... https://t.co/OIsNsJGhdH",1384737581729034241,2021-04-21T05:15:41.000Z,0,0,0,0,Jhon 2020 🌲🌳,"Chileno,Colocolino, Piscis.....",2019-11-15T17:32:13.000Z,CHILE36033957,FALSE,""
