author_id,text,id,lang,created_at.x,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,description,name,username,url,verified,created_at.y
1136420579639201792,"#ModusOperandi @meganoticiascl @Mega   @AndreaAristegui  @rodrigosepu @SoledadOnetto ES BUENO DENUNCIAR A LOS DELINCUENTES EN CHILE, ESPEREMOS Q LOS DELINCUENTES DE LA #ÉLITE TAMBIÉN LO HAGAN PARÁ Q DEMUESTREN Q NO SEAN CANAL FACISTA #PrensaVendida https://t.co/G26ju3mTiG",1383990231314046988,es,2021-04-19T03:45:59.000Z,1,0,1,0,"#Apruebo 🗳️
#NuevaConstituciónParaChile
#NoMasAFP
#NoAlMaltratoAnimal
#LaRazaHumanaUnaPlaga",TheGreatGoku🔥,Dpm_Chile2020,"",FALSE,2019-06-05T23:52:34.000Z
1177511762473603072,@meganoticiascl @AndreaAristegui podrían tener 1 mes mas de pegas y la incertidumbre? la depresión baja defensas y mala alimentación? tal cual el estrés? después de que vendieron alimentos que inflaman el organismo y etílicos ? así nos educan y protegen? sin justicia?,1384632751274479619,es,2021-04-20T22:19:07.000Z,0,0,0,0,"DIOS EXISTE, EL AMOR  TAMBIÉN,NOSOTROS EN HUMANIDAD  VES+56987793925 Help PAZ, VIOLADO POR DDHH SALUD Y ECONOMÍA Y EMOCIONES 😢🌎🙏🌱❤💛
🙏  ASPERGER+? SENTÍR",DIOS+MIEDO🙏🕊️🌏⏭️🇨🇱⏳🌱,Adhrstudio1,https://t.co/eqdaI37rz8,FALSE,2019-09-27T09:14:27.000Z
1177511762473603072,@meganoticiascl @AndreaAristegui https://t.co/vX9pk6vElW quisiera concentrarme en vivir ni casa tengo gracias al gobierno robándome en #Saludmental por tener dones + talentos y! nos mintieron tanto Sres. y mas ricos en el planeta? #Dios están abusando =( 550 días aguantando vivir esperando lo que no han dado?,1384632177023979522,es,2021-04-20T22:16:50.000Z,0,0,0,0,"DIOS EXISTE, EL AMOR  TAMBIÉN,NOSOTROS EN HUMANIDAD  VES+56987793925 Help PAZ, VIOLADO POR DDHH SALUD Y ECONOMÍA Y EMOCIONES 😢🌎🙏🌱❤💛
🙏  ASPERGER+? SENTÍR",DIOS+MIEDO🙏🕊️🌏⏭️🇨🇱⏳🌱,Adhrstudio1,https://t.co/eqdaI37rz8,FALSE,2019-09-27T09:14:27.000Z
1186717149991190530,@AndreaAristegui Cómo es posible que el TC tenga más fuerza que todo el poder legislativo !!??,1383015668698787842,es,2021-04-16T11:13:25.000Z,0,0,0,0,"",JAIME,JAIME08476458,"",FALSE,2019-10-22T18:53:33.000Z
1191551436150190080,@Consuelovaldesc @culturas_cl @DMatamala @tv_monica @jananeme @fuentesilva2 @alejandramatus @renenaranjo @jgonzalezmusico @claudionarea @CNNChile @pautalibrelared @Tolerancia0 @mirnaschindler @matiburgos @paulaescobarch @PamJiles @AndreaAristegui @gonzaloramirex @T13 @biobio 🤷‍♀️👇 https://t.co/EpN90uSOv2,1383651187019304961,und,2021-04-18T05:18:44.000Z,0,0,0,0,Cuidemos el medio Ambiente. La Pasión por los Trenes. y que viva El Rock 🎸,@Aguilas0,Aguilas010,"",FALSE,2019-11-05T03:03:19.000Z
1191551436150190080,@colmedchile @ColMedValpo @izkia @sebasugarte @alvarez_monse @TonkaTP @diana_bolocco @gonzaloramirex @AndreaAristegui @tv_Amaro @sergiolagos @JuliaVialTV @HolaChileLaRed @ContigoCHV @BuenosDiasTVN @jananeme @MuchoGustoMEGA @Bienvenidos13 @DMatamala @tv_monica @fuentesilva2 👇 https://t.co/RbL5Ti01Ns,1384268465981120522,und,2021-04-19T22:11:35.000Z,0,0,0,0,Cuidemos el medio Ambiente. La Pasión por los Trenes. y que viva El Rock 🎸,@Aguilas0,Aguilas010,"",FALSE,2019-11-05T03:03:19.000Z
1191551436150190080,@sebastianpinera @CarolaSchmidtZ @MMAChile @COP25CL @COP26 @DMatamala @tv_monica @jananeme @fuentesilva2 @alejandramatus @renenaranjo @CNNChile @pautalibrelared @Tolerancia0 @mirnaschindler @matiburgos @paulaescobarch @PamJiles @AndreaAristegui @gonzaloramirex @marcelomena 👇 https://t.co/FjtAiCy3RF,1383765596261609478,und,2021-04-18T12:53:21.000Z,0,0,0,0,Cuidemos el medio Ambiente. La Pasión por los Trenes. y que viva El Rock 🎸,@Aguilas0,Aguilas010,"",FALSE,2019-11-05T03:03:19.000Z
1191551436150190080,@amorenocharme @mop_chile @MOPdeLosRios @adeurresti @IntLosRios @biobio @CNNChile @Cooperativa @24HorasTVN @T13 @meganoticiascl @DMatamala @jananeme @tv_monica @AndreaAristegui @ifloresdiputado @DiputadoBerger @marcos_ilabaca @FelipeWard @ssaludlosrios @corelosrios @soyvaldiviacl https://t.co/7unkgurR6r,1384522680028778497,und,2021-04-20T15:01:44.000Z,0,0,0,0,Cuidemos el medio Ambiente. La Pasión por los Trenes. y que viva El Rock 🎸,@Aguilas0,Aguilas010,"",FALSE,2019-11-05T03:03:19.000Z
1191551436150190080,@CNNChile @CHVNoticias @meganoticiascl @24HorasTVN @pautalibrelared @mentiraslared @Tolerancia0 @estadonacional @DMatamala @tv_monica @tv_Amaro @alvarez_monse @mirkomacari @jananeme @AndreaAristegui @Carabdechile @PDI_CHILE @RodrigoDelgadoM @GalliJF @gonzaloramirex 🤷‍♀️👇 https://t.co/V6YGNi3Hln,1383923269242265608,und,2021-04-18T23:19:54.000Z,0,0,0,0,Cuidemos el medio Ambiente. La Pasión por los Trenes. y que viva El Rock 🎸,@Aguilas0,Aguilas010,"",FALSE,2019-11-05T03:03:19.000Z
1191551436150190080,@tv_monica @TonkaTP @tv_Amaro @jananeme @DMatamala @paulaescobarch @matiburgos @AndreaAristegui @fuentesilva2 @gonzaloramirex @fernandopaulsen @diana_bolocco @alvarez_monse @rafa_cavada @CNNChile @ContigoCHV @BuenosDiasTVN @Bienvenidos13 @HolaChileLaRed @biobio @mercuriovalpo 👇 https://t.co/SbtBzLDdvu,1383555605286162433,und,2021-04-17T22:58:56.000Z,1,0,1,0,Cuidemos el medio Ambiente. La Pasión por los Trenes. y que viva El Rock 🎸,@Aguilas0,Aguilas010,"",FALSE,2019-11-05T03:03:19.000Z
1191551436150190080,@TVN @24HorasTVN @CNTVChile @LaRedTV @CHVNoticias @Mega @canal13 @tv_monica @paulaescobarch @matiburgos @patriciapolitz @renenaranjo @mirnaschindler @gonzaloramirex @KarendTV @TonkaTP @sergiolagos @AndreaAristegui @JuliaVialTV @fuentesilva2 @jananeme @rafa_cavada @alvarez_monse https://t.co/FKn6TAlMBE,1383885282181738498,und,2021-04-18T20:48:57.000Z,0,0,0,0,Cuidemos el medio Ambiente. La Pasión por los Trenes. y que viva El Rock 🎸,@Aguilas0,Aguilas010,"",FALSE,2019-11-05T03:03:19.000Z
1193194344058105856,@meganoticiascl @AndreaAristegui https://t.co/N5XErfbKa8,1383103458241351682,und,2021-04-16T17:02:15.000Z,0,0,0,0,"Calidad de vida, casos de éxito: Canadá, Nueva Zelanda, Australia, Finlandia, Luxemburgo, Noruega, ...","Constitución ILEGAL, bajo dictadura.",Eecrocro1,"",FALSE,2019-11-09T15:51:26.000Z
1210039955801686019,"@ArielHipotester @meganoticiascl @AndreaAristegui Por acá, ya salieron ya!",1384693885612535808,es,2021-04-21T02:22:03.000Z,0,0,0,0,"",Morelia,Morelia7841,"",FALSE,2019-12-26T03:31:07.000Z
1229606199118704640,@AndreaAristegui  YOU TUBE : RIGHT NOW (HQ) VIDEO https://t.co/31DnazH5jV,1382776501016395786,en,2021-04-15T19:23:03.000Z,0,0,0,0,"",Christian Alpes,AlpesChristian,"",FALSE,2020-02-18T03:19:23.000Z
1240788411457421317,"Venta de rifas, bases y premios en https://t.co/wKcbyXoVGP
@TonkaTP @consuelosaav @lucyanaah @rfantuzzih @rubionatural @aluksicc @BenitoBaranda @Simon_Cirene @DesafioChile @marcomunica @Famchi1 @AndreaAristegui @tv_Amaro @CarlosZarateV @JosAndrsMurillo @IngerChile @jeblumel https://t.co/OISYJ0wbQZ",1383574773209264130,es,2021-04-18T00:15:06.000Z,3,0,1,0,"Construimos casas para adultos mayores.
Le devolvemos la dignidad a personas jubiladas y/o pensionadas a través de la entrega de casas totalmente gratis.",Fundación Adumay,FundacionAdumay,"",FALSE,2020-03-19T23:53:19.000Z
127405807,@meganoticiascl @AndreaAristegui El gobierno es el que realmente destruye al país. Fuera esos miserables,1384631526948839425,es,2021-04-20T22:14:15.000Z,0,0,5,0,"Desarrollador de Ideas, IoT speciallist ,  Quamtum. Piensa el presente viviendo en el futuro.🤗
/DIOS/


Lic. Ciencias de la astronomía.
Tic Dr",3xcelsI0R p4nd3mial,thecopypaster,https://t.co/9XbgZO79Nq,FALSE,2010-03-29T03:06:19.000Z
1286790494958297090,"#modusoperandimega @AndreaAristegui @meganoticiascl 
Pero por que no son más creativo, este programa ya lo transmitieron antes con otro nombre, Misión Encubierta. Yo pensé que iba a ver algo nuevo, todos los capítulos son de MISIÓN ENCUBIERTA. 🤦🏻‍♂️🤷🏻‍♂️",1383977946164056066,es,2021-04-19T02:57:10.000Z,0,1,0,0,"",Ramon Lepin,RamonLepin,"",FALSE,2020-07-24T22:29:20.000Z
1302453666994102273,"@AndreaAristegui Envidiosa con karen paola porque es joven y la pueden piropear, a ti quien te va a piropear si eres una vieja acabada que se cae el carasho gordo que tapas con estuco, tarada nomas envidiosa",1384086123530444802,es,2021-04-19T10:07:01.000Z,0,0,0,0,"",Ray8.organizacion,RAY8_Organ,"",FALSE,2020-09-06T03:49:09.000Z
