author_id,created_at.x,text,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,name,username,created_at.y,url,description
1026589422454751237,2021-04-21T01:09:58.000Z,"LAS GRAVES FALENCIAS DEL HOSPITAL FÉLIX BULNES EN PLENA PANDEMIA ⁦@DrEnriqueParis⁩ ⁦@pdazan⁩ ⁦@AlbertoDougnac⁩ #pandemia #gobiernodechile
Ver nota acá ⬇️ https://t.co/MeGaiIPU7S",1384675744614338560,es,0,0,0,0,FALSE,FEDEPRUS METROPOLITANA,FedeprusM,2018-08-06T22:02:46.000Z,https://t.co/y6H0iym0rQ,Federación Democrática de Profesionales Universitarios de Salud
104029986,2021-04-20T22:50:44.000Z,"@pdazan Y para qué?
Si nadie enferma de influenza.
No que solo existe el covid?",1384640708548640769,es,0,0,0,0,FALSE,ximena,ximenamar,2010-01-12T01:32:19.000Z,"","Amo a Dios, mi patria y mi familia, feliz dueña de casa, mansa pero no mensa"
1110866170046046208,2021-04-21T01:00:12.000Z,@1524patricia @aluksicc Preguntémosle a la subsecretaria @pdazan ella responde todo...,1384673286601256963,es,0,0,2,0,FALSE,Yeya Bueno Tapia,Yeya3101,2019-03-27T11:28:28.000Z,"",Hasta q la Dignidad se haga Costumbre...
1147355351618129921,2021-04-20T16:22:23.000Z,@rolandotroncoso @ministeriosalud @pdazan Y sigue con lo mismo enserió que es duro de mollera ... en fin haga lo que quiera,1384542976572116994,es,0,0,0,0,FALSE,👑 ISIMUS PRIME 👑,ISIMUS_PRIME,2019-07-06T04:03:27.000Z,"",⚔EL ENEMIGO DE MI ENEMIGO ES MI AMIGO....
1147355351618129921,2021-04-20T16:21:20.000Z,@rolandotroncoso @ministeriosalud @pdazan tiene  tiempo para hablar leseras en Twitter en vez de salir a buscar trabajo deje de hacerse la víctima y el pobrecito. Simplemente deje trabajar,1384542711357792263,es,0,0,0,0,FALSE,👑 ISIMUS PRIME 👑,ISIMUS_PRIME,2019-07-06T04:03:27.000Z,"",⚔EL ENEMIGO DE MI ENEMIGO ES MI AMIGO....
116998084,2021-04-20T20:34:26.000Z,@DrEnriqueParis @pdazan @katymartorell @AlbertoDougnac cuándo vuelve el permiso para pasear mascotas? Que dure 40 min y listo. No es posible para todos entre 6 y 9AM. 2 permisos x semana son insuficientes. Mi mascota está desesperada en fase 1. @colmevetchile,1384606403864629256,es,0,0,0,0,FALSE,Ignacio Rojas,nacho2121,2010-02-24T06:25:19.000Z,https://t.co/edvuUN5VA0,"Teacher of English en Liceo Santa Marta, Vallenar. Oriundo de #Freirina. #SoyDonante"
118208510,2021-04-21T01:02:12.000Z,"@silvita_a21 @pdazan @SeremiSaludRM Creo que es la única medida que van a controlar la cantidad de gente q sale al extranjero... En otros países lo hacen así, y les piden mayor cantidad de días y por eso nadie viaja ... (lamentando toda situación familiar, pero estamos en estado de pandemia )",1384673790085447680,es,0,1,0,0,FALSE,Cesar Arellano,Angelito_Caotic,2010-02-27T23:13:48.000Z,"",""
1189606504485347328,2021-04-20T23:55:51.000Z,@pdazan Por qué mejor no nos abren la celda,1384657093735718913,es,0,0,0,0,FALSE,Andrea,defensachilena,2019-10-30T18:14:38.000Z,"",De derecha conservadora. Conservar lo bueno y lo que siempre ha funcionado. El progresismo sólo nos lleva a la decadencia como sociedad
120666248,2021-04-20T23:36:10.000Z,"@pdazan Sean más didácticos en los balances, mostrando la importancia de ventilar.",1384652138673016839,es,0,0,0,0,FALSE,replicas,replicas__,2010-03-07T04:54:57.000Z,"","Es totalmente legítimo aplicar la 'retroexcavadora' a herencias de la dictadura.

Sí al voto voluntario; no al electrónico.

A favor de los 2/3 en AC.

🗺🗳📈🚴"
122353586,2021-04-21T00:10:38.000Z,"@pdazan Porque no se atiende a los crónicos rezagados? Hoy di un paseo x varios centros y no quisieron vacunar a mi hijo menor de edad crónico, por que no tenia 48 años..los crónicos o discapacitados rezagados no podrian ir cualquier dia?",1384660812539834368,es,0,0,0,0,FALSE,Patricia Riquelme,priquelmesnm,2010-03-12T12:17:29.000Z,"","Mamá, esposa, hermana, hija, Asistente Social, Diplomada en interv. social con Adolescentes infractores de ley, Perito Corte Stgo  A.S Mun. de Huechuraba"
