author_id,lang,created_at.x,text,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,username,verified,description,created_at.y,url,name
104497612,es,2021-04-21T01:44:29.000Z,@javiparada @ieschile @ceaceotres @radiosanjoaquin Este es el chile de hoy. Gracias por tu apoyo .🤬 https://t.co/UJDhveHbMK,1384684434083954689,6,0,7,0,fusionandinas,FALSE,"Entre sus motivaciones primeras, se debe consignar el esfuerzo por la creación musical, como por el rescate y difusión de la cultura musical latinoamericana.",2010-01-13T14:21:07.000Z,https://t.co/Zz7moij0E4,FUSION ANDINA
1048564174459228160,es,2021-04-21T01:33:14.000Z,"@javiparada @ieschile @ceaceotres @radiosanjoaquin Hola, te cuento que todo Chile está caceroleando, hay filas para el IFE, muchos rechazados por los bonos y tú hablando de “nuestro futuro”? Parece que el brionismo implica ceguera, sordera y tontera 🤦‍♀️",1384681602840731648,2,2,14,0,rioyleo,FALSE,"Cuántos ríos habrá que cruzar para amar en el campo?  Letras, vida sencilla y pensar complejo. Quiero criar camellos en el desierto de Gobi 🐫",2018-10-06T13:22:35.000Z,"",Un cuarto propio
1081292496506941441,es,2021-04-21T05:55:43.000Z,"@rioyleo @javiparada @ieschile @ceaceotres @radiosanjoaquin Y tú hablando de ""todo Chile"". Andá 🙄",1384747656963100673,0,0,0,0,joselitohuasca,FALSE,Defínalo,2019-01-04T20:53:15.000Z,"",josé
1082994683742224385,es,2021-03-09T00:29:04.000Z,"@ceaceotres @javiparada @SquellaAgustin @otrovenus @clau_barattini @ceciechepascal @ConstanzaRauri1 @mattacerna @josemiguelart17 @vladomirosevic @PatoFdez @maidagarreton @betgerber Sin la ""violencia"" no habría existido proceso constituyente, sin la ""violencia"" no estaría postulando a constituyente. Renegar de la movilización social que le permite ser candidato, bueno, mejor que vaya al asado de su amigo pinochetista.",1369082774414635012,0,0,0,0,Gabriel48241,FALSE,"",2019-01-09T13:37:08.000Z,"",Gabriel4824
1084533085318860800,und,2021-04-21T03:21:00.000Z,@javiparada @ieschile @ceaceotres @radiosanjoaquin 🤡🤡🤡,1384708723537494018,0,0,0,0,FelipeSez2,FALSE,"Doglover
.",2019-01-13T19:30:11.000Z,https://t.co/NlKCdhRHCn,Felipe Sáez
1179435302332588032,es,2021-04-13T00:59:08.000Z,@javiparada @ONUMujeres @ceaceotres @radiosanjoaquin 25 palitos... y el papá asesinado,1381773917401010185,1,0,2,0,Satan_AprueboAC,FALSE,"Antifacho - El Che es mi Pastor - #FueraPiñera y #FueraMarioSalas - 
""Los Fachos pobres son todos weones, los fachos tambien""  - Revolucionario",2019-10-02T16:38:15.000Z,"",Satan_Apruebo #YoApruebo #Apruebo
1188076393822937089,und,2021-04-21T02:18:08.000Z,@javiparada @ieschile @ceaceotres @radiosanjoaquin https://t.co/azZW06AgTj,1384692901117104128,1,0,1,0,JulianXX8,FALSE,#SegundoRetiro10xCiento,2019-10-26T12:54:33.000Z,"",JulianXX
1188076393822937089,und,2021-04-21T02:17:37.000Z,@javiparada @ieschile @ceaceotres @radiosanjoaquin https://t.co/YPRc4Z4v7O,1384692769013256198,1,0,1,0,JulianXX8,FALSE,#SegundoRetiro10xCiento,2019-10-26T12:54:33.000Z,"",JulianXX
1188076393822937089,es,2021-04-13T06:29:09.000Z,"@javiparada @ONUMujeres @ceaceotres @radiosanjoaquin #JavieraParada
25 millones costó la memoria de tu padre asesinado por la dictadura y sus simpatizantes con cuales hoy compartes la mesa.
La dignidad no se tranza en la bolsa
Y menos aún tus muertos...",1381856968705404929,3,0,5,0,JulianXX8,FALSE,#SegundoRetiro10xCiento,2019-10-26T12:54:33.000Z,"",JulianXX
1188076393822937089,und,2021-04-13T06:26:48.000Z,@javiparada @ONUMujeres @ceaceotres @radiosanjoaquin https://t.co/lZ9Uh0yFjk,1381856377849647104,0,0,1,0,JulianXX8,FALSE,#SegundoRetiro10xCiento,2019-10-26T12:54:33.000Z,"",JulianXX
1188992643101089798,es,2021-04-11T22:15:44.000Z,@ceaceotres @javiparada @AdrianaValdes8 @otrovenus @ceciechepascal @MagdalenaMarin @mattacerna @ConstanzaRauri1 Como dignidad al dinero!!!!,1381370406683222017,0,0,0,0,Mario15001,FALSE,deporte,2019-10-29T01:35:39.000Z,"",No al TPP11!!!! Der-Izq = que mierda mas grande
1190770001835372544,is,2021-04-21T02:05:57.000Z,@javiparada @ieschile @ceaceotres @radiosanjoaquin Nefasta!!!!!!!!!!!.,1384689835315695616,1,0,1,0,ManuelCRenokcer,FALSE,Disfrutar de buena música y compartir con quienes más quiero,2019-11-02T23:18:12.000Z,"",Leunam Renokcer🇨🇱Chile no está en venta.
119103964,es,2021-04-12T20:29:14.000Z,@javiparada @ONUMujeres @ceaceotres @radiosanjoaquin Por 25 palos te hago una caga de afiche mejor...javi PAGADA,1381705994212892673,1,0,1,0,sretamals,FALSE,"prefiero a Jorge González que a todos, Sabina a Silvio, las piscola al vino.Azul hasta los huesos
Padre de la hermosa Matilda Antuel y del peludo Benito #zurdo",2010-03-02T17:47:48.000Z,"",Sergio Retamal
119114186,es,2021-04-21T01:38:10.000Z,@javiparada @ieschile @ceaceotres @radiosanjoaquin Mejor entrense uds. Q esto va a explotar de nuevo,1384682840894234625,0,0,1,0,fkd1004hxc,FALSE,"",2010-03-02T18:22:47.000Z,"",gabo
1198632260855054337,es,2021-04-21T04:09:33.000Z,@javiparada @ieschile @ceaceotres @radiosanjoaquin Cuándo es el seminario con la Udi y el Partidi Republicano?,1384720937543680002,0,0,0,0,Pato45193039,FALSE,"",2019-11-24T16:00:00.000Z,"",Perro playero
1203032463838191616,es,2021-03-23T21:38:13.000Z,"@elchedelosgays @GobiernodeChile @RadioFusion1063 @javiparada @ceaceotres @rvfradiopopular @RadioTVLiberaci @Radio19deAbril Analista política? Que mala broma es esta? Acaso @javiparada es cientista política, que anda haciendo lobby con el cambio constitucional que le conviene al gobierno?",1374475596785328128,0,0,0,0,f_santander5,FALSE,Actor y escribiente. Parte del proyecto #LetraChueca. Le soy VIH+. Twitteo a título personal. No acepto fachos ni egocéntricos ☝️Soy de izquierda no FA ni ex NM,2019-12-06T19:24:43.000Z,https://t.co/TqlIC77TBp,Francisco S. Chavarría
1213821600727887873,es,2021-03-23T21:21:42.000Z,@elchedelosgays @GobiernodeChile @RadioFusion1063 @javiparada @ceaceotres @rvfradiopopular @RadioTVLiberaci @Radio19deAbril La verdad no imagino a Jaime y Javiera caminando por las calles de Conchalí.,1374471440758493188,0,0,0,0,UlisesS03633474,FALSE,Ingeniería y antropología,2020-01-05T13:56:45.000Z,"",Ulises Santiago
1213821600727887873,es,2021-04-11T20:52:39.000Z,@ceaceotres @javiparada @AdrianaValdes8 @otrovenus @ceciechepascal @MagdalenaMarin @mattacerna @ConstanzaRauri1 Habrá algo más demodé q la academia de la lengua,1381349499214385163,0,0,0,0,UlisesS03633474,FALSE,Ingeniería y antropología,2020-01-05T13:56:45.000Z,"",Ulises Santiago
121867401,pt,2021-04-21T01:52:21.000Z,@rioyleo @javiparada @ieschile @ceaceotres @radiosanjoaquin ... indolencia y pelotudez intensa profunda!...,1384686413422243840,0,0,4,0,PolyCucho,FALSE,"C/genética d derecha conservadora.Nada queda
Intolerante a l@s abtus@s.
Mom2,Granny1.
Made in Chile,elaborated in Norway
horsewhisperer🐎CAC❤ y +",2010-03-10T21:29:32.000Z,"",La POLY
1274856516663808002,es,2021-03-28T15:21:27.000Z,"@elchedelosgays @javiparada @GobiernodeChile @jaimebellolio @ceaceotres Vergüeza ajena, promoverá con su osadía pedagógica.",1376192721602371584,0,0,0,0,Eduardo43802442,FALSE,Espero que la FILOSOFÍA vuelva a caminar. La historia me conmueve. Respeto antes que amor.,2020-06-22T00:07:53.000Z,https://t.co/anIF8VP7gz,EduArdO
