author_id,text,id,created_at.x,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,location,description,verified,username,url,created_at.y
1012775363905236992,@ncastilo ya pero y???,1384643168818302976,2021-04-20T23:00:31.000Z,es,0,0,0,0,Peperere,"","",FALSE,Peperere3,"",2018-06-29T19:10:37.000Z
101899893,@pablovidalrojas @cesarleivarubio @PabloVidal2022 @ncastilo Encantado de perdermelo,1384323639433121792,2021-04-20T01:50:49.000Z,pt,0,0,1,0,Camilo Farias,San Clemente,"Antropólogo, San Clementino, Rangerino y Zurdo",FALSE,camilo_fariasd,"",2010-01-05T00:03:40.000Z
1033447465742204928,"@abernales @vladomirosevic @Liberales_Chile @samuelgalvezd @ale_injoque @pablovidalrojas @ElnuevoTrato @ncastilo @JMGalloConcejal @feliperamos1980 @Giovimoreira cuando veremos la eutanasia del fa, empecemos por nosotros mismos , un ejemplo a la sociedad seria genial de parte de ustedes",1384611035760500736,2021-04-20T20:52:50.000Z,es,0,0,0,0,Jorge Flores,"Santiago, Metropolitana de San",Lucho por lo justo y cierto,FALSE,JorgeFl69744910,"",2018-08-25T20:14:11.000Z
1071979507,"@ncastilo Pero que van a hacer Natalia, acá hay notable abandono del presidente, no pueden quedarse solo con la frase en Twitter",1384644666906357772,2021-04-20T23:06:28.000Z,es,0,0,1,0,Déntrate pa dentro!!,Macondo,"Estoy más guardado que regalo de amante!! Solo opiniones personales, política y de joda, 99% weveo
No le contesto a fachos, no insista!!",FALSE,fishandbike2,"",2013-01-08T20:54:17.000Z
1081414308205084673,@ncastilo un año sin justicia. se tomaron mi unica casa estoy de allegada con mi hija y con mi marido en quimios no soy rentista. y si fuera su casa ? queremos lanzamientos ya .no + ley 18101 ni ley 21226.basta de abusos amparados por el estado no tengo que subsidiar a nadie con mi casa,1384643585996382208,2021-04-20T23:02:10.000Z,es,2,0,5,0,Karen,"","",FALSE,Karen00359505,"",2019-01-05T04:57:17.000Z
1135693034933428229,@ncastilo #AcusacionConstitucionalAPiñeraAhora,1384643640023306241,2021-04-20T23:02:23.000Z,und,0,0,0,0,arte-sano APRUEBO C.C,"Puerto Montt, Chile","Una sonrisa cuesta menos que la electricidad y da más luz.. Artesano, deportista aficionado, amante de las pantrucas, el corazón a la izquierda U de Chile.",FALSE,Pablo42305109,"",2019-06-03T23:41:34.000Z
1153874600801030149,"@ddr_manuel @MinDesarrollo @s_villarrealb @cosme_mellado @lafundacionsol @ncastilo @vladomirosevic @abernales @PabloVidal2022 @ContigoCHV @KarlaEnAccion @boris_barrera @marcoporchile Revisa los integrantes y los montos que perciben cada uno, a veces hay información errónea.",1384513087043252228,2021-04-20T14:23:37.000Z,es,0,0,0,0,Mary A. Pinto,"","Dueña de la verdad, quien diga lo contrario, tiene toda la razón.

@mijail_1312 's wifey",FALSE,Maaary_ap,"",2019-07-24T03:48:37.000Z
116557229,@ncastilo Entonces apoya la #AcusacionConstitucionalAPiñera,1384645020096081920,2021-04-20T23:07:52.000Z,es,0,0,0,0,Michael Diaz 🌈,"","El wn de la sal, sigan mi IG del emprendimiento @que_sal_",FALSE,mdiazmancilla,https://t.co/og02IzAPy5,2010-02-22T22:16:10.000Z
1177511762473603072,@ONU_derechos @Camara_cl @NoticiasONU @Mayafernandeza @carmen_hertz @lcruzcoke @G_Ascencio @NinoBaltolu @ncastilo @DEmiliaNuyado @LuisPardoS @Raul_Soto1 https://t.co/b2avhLH8al,1384351445135278080,2021-04-20T03:41:19.000Z,und,0,0,0,0,DIOS+MIEDO🙏🕊️🌏⏭️🇨🇱⏳🌱,Chile,"DIOS EXISTE, EL AMOR  TAMBIÉN,NOSOTROS EN HUMANIDAD  VES+56987793925 Help PAZ, VIOLADO POR DDHH SALUD Y ECONOMÍA Y EMOCIONES 😢🌎🙏🌱❤💛
🙏  ASPERGER+? SENTÍR",FALSE,Adhrstudio1,https://t.co/eqdaI37rz8,2019-09-27T09:14:27.000Z
118177650,"@ncastilo Acusación ahora !! 
Otro presidente hasta las próximas elecciones, escuchen al pueblo!",1384644904106795010,2021-04-20T23:07:25.000Z,es,0,0,1,0,Daniel Dem,Santiago de Chile,"Libertad a los presos políticos de la revuelta !
Latinoamérica Libre 🏔️🏞️

#NoAlTPP11 #FreeAssange #FreeTibet",FALSE,Daniel_Dem1,"",2010-02-27T21:07:05.000Z
