author_id,id,created_at.x,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,description,verified,created_at.y,username
1043583853317816321,1384716812928045057,2021-04-21T03:53:09.000Z,es,"@eldesconcierto Merece morir, es el máximo delincuente en la historia de chile",0,0,0,0,MamboKingz ™,"","",FALSE,2018-09-22T19:32:34.000Z,MambokingzT
1045039166759862273,1384742370487545856,2021-04-21T05:34:43.000Z,es,@Diego_Schalper @alvarez_espino Ojalá que no se ofrezcan más soluciones ni bonos ni cajas de alimentos que no llegan a los necesitados!!A los chilenos eso los agrede e irrita!! @biobio @eldesconcierto @latercera @Emol @CNNChile,0,0,0,0,apernate18,"","",FALSE,2018-09-26T19:55:28.000Z,apernate182
1063594339782336513,1384723507272196096,2021-04-21T04:19:45.000Z,es,@eldesconcierto CON MUCHA,0,0,2,0,#FueraPiñera #LibertadALxsPresxsDeLaRevuelta,"","Si no hay pan para el pobre no habrá paz para el rico, 🔥LA LUCHA SIGUE🔥, #NOmasAFP, #PacosSinGloria
#RenunciaPiñera políticos=💩
#AbortoLibre💚 🏳️‍🌈",FALSE,2018-11-17T00:47:06.000Z,Chilee_desperto
1077698748057354241,1384731710806450178,2021-04-21T04:52:21.000Z,es,@eldesconcierto Sra es ud. Una traidora de su padre una oportunista vendida tratando de ser algo que nunca será. Que pena para quien fue su padre saber que su hija se vendió al peor de sus enemigos políticos los que lo asesinaron por pensar distinto,0,0,0,0,Neiza_Vera,"","",FALSE,2018-12-25T22:52:58.000Z,NeizaVera
1085933816500420608,1384727812389621761,2021-04-21T04:36:52.000Z,es,"@eldesconcierto Intuyo, intuyo, q esta personita está piteá...igual q la otra",0,0,0,0,Toledodechile,"",lleva la paz en ti y llevala a los demás,FALSE,2019-01-17T16:16:12.000Z,toledodechile
111996704,1384729449648824328,2021-04-21T04:43:22.000Z,es,"@eldesconcierto Una conversa nunca podrá volver a su lugar de origen...y al lugar que llega siempre será una  ""allegada"".",0,0,1,0,Caminante...,"","...caminante, no hay camino, se hace camino al andar...",FALSE,2010-02-06T22:19:21.000Z,jaran_13
1135044039835885568,1384723156456415232,2021-04-21T04:18:22.000Z,es,"@eldesconcierto @javiparada ha vivido como una más de la élite , desconectada de las necesidades de la gente.",0,0,4,0,Concepción Independiente,"","Chile siempre fue un Estado Provincial , nunca fue en su Historia un Estado Unitario . Concepción debe seguir los pasos de Catalunya .",FALSE,2019-06-02T04:42:41.000Z,CarloTorresCT1
1176708435003498497,1384724679693414405,2021-04-21T04:24:25.000Z,es,"@eldesconcierto Dejemos de inflar a este pajarito por la chucha!!!!!!

Ya no me irrita
Me empezó a dar lastima",1,2,13,0,@jotape,"","Mi mayor orgullo es surgir del seno del proletariado
Mi mayor honra es caminar al lado de mi Amada esposa Odette  inclaudicable e intacta.",FALSE,2019-09-25T04:02:27.000Z,jotape04009284
118250167,1384744702793207809,2021-04-21T05:43:59.000Z,es,@eldesconcierto Payaso hijo de puta...!!!!!!,0,0,0,0,javier,"","",FALSE,2010-02-28T02:27:01.000Z,jawier1
118250167,1384744595188326400,2021-04-21T05:43:33.000Z,es,@eldesconcierto DEJATE DE HABLAR HUEVADAS PAYASO CONCHA DE TU MADRE...HABLA POR TI...NO POR UN HIJO DE PUTA COMO YU CAGADA DE JEFE...TONTO CONCHA DE TU MADRE NO TE DAS CUENTA QUE LA GENTE NO AGUANTA MAS CON MALDITO PLAN QUE ES UN REVERENDO FRACASO,0,0,0,0,javier,"","",FALSE,2010-02-28T02:27:01.000Z,jawier1
