author_id,lang,created_at.x,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,url,description,name,location,verified,created_at.y,username
1007049566,es,2021-04-20T23:16:39.000Z,1384647228359200769,"@LatorreJI @RDemocratica Buena populista.
¿Que tiene que ver ""defender la AFPs"" con el retiro?
El retiro es del fondo de pensiones, no del dinero de las AFPs....",0,0,0,0,"",Interesado en verificar como con el IVA y otros impuestos  ( total 25%) ya trabajamos una semana cada  mes para el fisco.,Alejandro Covarrubias,"Rancagua, Chile",FALSE,2012-12-12T18:51:35.000Z,Vamos_A_Londres
1019023891228954624,und,2021-04-20T22:08:02.000Z,1384629961709998082,"@LatorreJI
https://t.co/GJbMImcErc",0,0,0,0,https://t.co/LiBbs96KsR,"Somos un equipo de profesionales, dedicados a mantener informada a la comunidad con noticias de contingencia y con servicio de utilidad pública.",Alerta Noticias Valparaíso,"",FALSE,2018-07-17T01:00:03.000Z,AlertaNoticiasV
1034206710834114588,es,2021-04-19T19:16:34.000Z,1384224422676946944,"🏳️‍⚧️El día jueves 15 terminó su primera tramitación por la Comisión de DDHH, el Proyecto de reforma a la ley Antidiscriminación, presentado por el senador @LatorreJI otres, con el fin de fortalecerla y enmendar los errores que esta contenía. 

#LeyZamudio #leyantidiscriminación https://t.co/g1m9HLu0AS",10,1,15,0,https://t.co/5UlSXe6zzp,Somos el frente de Diversidad Sexual de @RDemocratica de la región de Valparaíso. Únetenos en el proceso de transformar Chile 🏳️‍🌈✊🏻,Frente de Diversidad Sexual RD Valparaíso,"Valparaíso, Chile",FALSE,2018-08-27T22:31:09.000Z,FdiversidadVlpo
104076916,es,2021-04-20T14:49:04.000Z,1384519491590238210,@Senado_Chile @SenadorCastro @senadornavarro @sandovalplaza @LatorreJI @SenadorJSoria @UkamauChile Ministro de hacienda los recursos están en los impuestos a los más ricos y el aumento de impuestos al Royalty minero  que se calculan unos $4.000.000.000 a 6.500.000.000 millones de dólares al año que se van a otros paises,0,0,0,0,"","",conectado,RANCAGUA,FALSE,2010-01-12T05:14:51.000Z,carcalan
1064281023695986689,es,2021-04-19T20:52:25.000Z,1384248544110862341,@Senado_Chile @LatorreJI DESDE CUANDO LA CONSTITUCION ES MAS IMPORTANTE QUE EL HAMBRE DE LOS CHILENOS? @ContigoCHV @sebastianpinera @Senado_Chile @Camara_cl @alvarez_monse @desbordes @marcos_ilabaca @marcoporchile @DiputadosDC @DiputadosRN @Diputados_PC @BuenosDiasTVN @MuchoGustoMEGA @Bienvenidos13,0,0,0,0,"",START THE DAY WITH LOVE,RUMI,"Las Condes, Chile",FALSE,2018-11-18T22:15:44.000Z,pabloiznikcom1
1105573582292303873,es,2021-04-20T23:15:11.000Z,1384646861533945859,@LatorreJI Rabia rabia rabia . Piñera es un miserable,0,0,0,0,"","Madre orgullosa de 2 bellos hijos. Cruzada hasta los huesos, con mi UC en las malas y buenas ,   gozadora de la vida y camino por el lado izquerdo",Fanaticacruzada,"",FALSE,2019-03-12T20:57:37.000Z,Fanaticacruzad1
1149654795034214400,es,2021-04-20T13:25:32.000Z,1384498467972653062,@LatorreJI La Derecha nunca ha sido democrática....,1,0,2,0,"",Tengo fe en Chile y su destino. Superarán otros hombres este momento gris y amargo....,Dark Knight,Chile,FALSE,2019-07-12T12:20:37.000Z,DarkKni19951804
1185565489134800901,es,2021-04-20T22:30:27.000Z,1384635600817561604,@LatorreJI Acusación Constitucional contra el Millonario PIÑERA ahora y que vaya a la carcel. VEREMOS SI LOS PARLAMENTARIOS SON DE VERDAD,0,0,1,0,"",Tranquilidad,cHarli,"",FALSE,2019-10-19T14:37:13.000Z,char1234ch
1185565489134800901,es,2021-04-20T22:28:43.000Z,1384635167676014596,@Naty_campusano @la_convergencia @gabrielboric @gonzalowinter @LatorreJI @baradit @GaelDiputada @Alo__arellano @LuisMesina1 @Jaime_Bassa @Mister_Wolf_0 Acusación Constitucional contra el Millonario PIÑERA ahora y que vaya a la carcel. VEREMOS SI LOS PARLAMENTARIOS SON DE VERDAD,0,0,1,0,"",Tranquilidad,cHarli,"",FALSE,2019-10-19T14:37:13.000Z,char1234ch
1191288100758134785,cy,2021-04-20T01:29:51.000Z,1384318361006379008,@LatorreJI @gabrielboric @la_convergencia @RDemocratica @GiorgioJackson @CatalinaPerezS @labeasanchez @fernando_atria @FuerzaComunCL @SebaDepolo @pepoglatz Traidor,0,0,0,0,"","",Marcela Fredes,"",FALSE,2019-11-04T09:36:46.000Z,MarcelaFredes2
1194349570802798597,es,2021-04-20T01:25:33.000Z,1384317279131811840,"@LatorreJI @RD_RegionValpo #AcusacionConstitucionalAPiñera 
Que no respeta la Constitución...!!!",0,0,2,0,"","firme junto al pueblo
chilota poh hasta el 73
patagona che hasta el 2000
choriza porteña Valpo...y siempre
a la izquierda del dial
@mar_vera_ojeda en IG",Marcela Vera Ojeda🌺🌸🌹🌷,"Valparaíso, Chile",FALSE,2019-11-12T20:22:05.000Z,MarcelaVeraO
1197699181487542272,es,2021-04-21T00:45:10.000Z,1384669506627330050,"Latorre quiere poner sistema de reparto, entonces dime @LatorreJI ¿cómo el estado podrá pagar pensiones dignas y básicas a todos chilenos? ¿En base de qué? https://t.co/kCoifMU7NG",0,1,2,0,"",Mato fake news de dónde sea. Liberal.,Cc,"",FALSE,2019-11-22T02:12:01.000Z,unxciudadana
