author_id,created_at.x,id,lang,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,verified,created_at.y,location,name,description,url,username
1004067961798320129,2021-04-20T22:19:31.000Z,1384632850490736641,es,"A la calleeeee nomas
Marcha,marcha,marcha!!
#TerceRetiro10ciento
@ProvosteYasna 
@ximerincon 
@ivanmoreirab 
@desbordes 
@dip_jmcastro 
@DuranDiputado 
@LavinJoaquin 
@mariseka 
@paulinanu 
@KarolCariola 
@jorbritoh 
@KarimBianchi 
@erikaoliverad 
@LeoSotoChile https://t.co/RvNS9ZMpot",9,0,18,0,FALSE,2018-06-05T18:30:31.000Z,"Santiago, Chile",Jorge sepulveda,Administración de empresas. Bicicletero y pésimo futbolista,"",Jorgese04691711
1033447465742204928,2021-04-20T19:49:13.000Z,1384595025200308226,es,@jorbritoh jorge brito aun no responde que sabia del candidato a diputado sorprendido con bombas molotov el año 2019. ademas del tema de las maquinas  en rancagua,0,0,0,0,FALSE,2018-08-25T20:14:11.000Z,"Santiago, Metropolitana de San",Jorge Flores,Lucho por lo justo y cierto,"",JorgeFl69744910
1045163379583782912,2021-04-21T01:06:21.000Z,1384674833708032006,es,"@jorbritoh @BenoEspinosa Q pérdida de tiempo de verdad , piñera la puede estar cagando, pero ejerce una facultad q está en la Constitución.",0,1,1,0,FALSE,2018-09-27T04:09:02.000Z,"",Per Yngve Ohlin,"What will be left of me when I'm dead?
There was nothing when I lived
What you found was eternal death
No one will ever miss you","",Attila8004
104669894,2021-04-21T01:46:24.000Z,1384684913304158208,es,"@jorbritoh @SusanaZuniga7 Hoy el enemigo poderoso, la ciudadanía, le declara la guerra al tirano infeliz de piñera, hasta que caiga. Ustedes como políticos han sido cómplices de la muerte, abuso, corrupción. Exigimos la destitucion ahora.",0,0,1,0,FALSE,2010-01-14T01:24:37.000Z,"",valerius,"","",rdariovalerius
1054849938386046977,2021-04-20T17:02:29.000Z,1384553066368745475,es,@vivefotos @jorbritoh @marcelodiazd Ojo que interpelar es distinto a la acusación constitucional.,0,1,0,0,FALSE,2018-10-23T21:39:58.000Z,"Valparaíso, Chile",Felipe Solorzano Hernández,"Estudiante, Militante de Convergencia Social y Bullanguero","",FelipeSolorza20
106090432,2021-04-21T02:01:11.000Z,1384688634125766659,es,@jorbritoh Acusación constitucional sin seguridad de tener los votos es un chiste. Ponganse serios si esto no es la federación de estudiantes.,0,0,2,0,FALSE,2010-01-18T13:28:55.000Z,"Coyhaique, Patagonia. ",Ignacio Sepúlveda,"Cientista Político, Papá, Bombero y Rockero!","",isepulvedaavila
1102700456,2021-04-20T06:29:18.000Z,1384393722570452994,es,"@jorbritoh @rmunda La interpelación no sirve, acusación constitucional al ministro y a los sediciosos de los comandantes en jefe por las cartas. Se vuelven democráticos rapidito.",0,0,0,0,FALSE,2013-01-19T03:43:09.000Z,"",Luis #SPLPQTP,"No sigo a fascistas ni a pinochetistas, si me ofende le respondo de vuelta. Si no le gustan mis tweets mala suerte no más. Si lo sigo y no me sigue, chaito","",cid_LP
1103633233781182464,2021-04-21T02:06:23.000Z,1384689942752862210,es,@jorbritoh @RDemocratica A bajarse del pony,0,0,0,0,FALSE,2019-03-07T12:27:22.000Z,"",Nicolás C.,"","",CorreaFenick
110439543,2021-04-20T17:12:08.000Z,1384555495613210627,es,@FelipeSolorza20 @jorbritoh @marcelodiazd Ese fue mi error por eso me trataron de tonto y tienes razon felipe. oye que andan sensibles los nietitos jajajaja,0,0,1,0,FALSE,2010-02-01T15:09:56.000Z,santiago chile,gonzalo Vives,fotógrafo insta @vivesfoto @takirisour,"",vivefotos
1115064091,2021-04-20T17:22:53.000Z,1384558199127351296,es,@jorbritoh Se nota que no tienen nada mas importante que hacer...vayan a estudiar mejor,0,0,0,0,FALSE,2013-01-23T18:58:07.000Z,"",El Mentiroso,"","",mentiroso2013
