author_id,text,created_at.x,id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,name,url,created_at.y,description,verified,username,location
1001191203713552385,@dmimica Plot twist: Piñera es accionista de La Red,2021-04-19T13:33:39.000Z,1384138125245517829,es,0,0,0,0,Policia Tuitera,"",2018-05-28T19:59:18.000Z,"Para denunciar lo políticamente incorrecto y todo lo que hace llorar a los millenials.
LGBTQSs+🏳️‍🌈
#SuperStraightPride
mi pronombre es su majestad",FALSE,tuitera_policia,twittersfera
1012162953427210240,"@dmimica Cómo qué? Q sea más necesario/urgente que limar las ineficiencias del Estado?  Por ej. , Han descubierto y reintegrado los malhabidos bonos los 30 mil empleados del gob?? En cualquier empresa privada, ya estarían descontados x planilla dentro al mes siguiente del “error”",2021-04-19T20:54:14.000Z,1384248998987325451,es,0,0,0,0,FMA_Corp,https://t.co/V6ttuOKurE,2018-06-28T02:37:07.000Z,"La vida está llena de oportunidades, es cosa de tomarlas cuando aparezcan. si insultas, bloqueo.",FALSE,FmaCorp,"Santiago, Chile"
102656472,@dmimica Sutil pone el punto sobre modernizacion del estado Davor.,2021-04-19T21:26:55.000Z,1384257226823532545,es,0,2,0,0,Verónica Pinilla M.,"",2010-01-07T11:55:48.000Z,Buscando desafios para un Chile mejor/@Chile_transparente /@ChileIsraelCouncil/Docente/Consultora Latam,FALSE,VeroPinilla,"Santiago, Chile"
102656472,"@redmatriz @dmimica Totalmente de acuerdo contigo. 
La empresa debe actuar en su esoacio y con una discusion etica y pertinente sobre estos temas, pero no puede siempre estar sacando a la pizarra al estado!",2021-04-19T22:54:02.000Z,1384279148458233861,es,0,0,1,0,Verónica Pinilla M.,"",2010-01-07T11:55:48.000Z,Buscando desafios para un Chile mejor/@Chile_transparente /@ChileIsraelCouncil/Docente/Consultora Latam,FALSE,VeroPinilla,"Santiago, Chile"
102656472,"@dmimica Si. Llama la atencion que ponga el foco en aquello donde la empresa no tiene amplia jurisdiccion, pudiendo ahondar en tantos temas (como el que tu mencionas) que si tienen. Como dicen en el futbol... tirando la pelotita para el corner.",2021-04-19T22:52:17.000Z,1384278709796888577,es,0,0,0,0,Verónica Pinilla M.,"",2010-01-07T11:55:48.000Z,Buscando desafios para un Chile mejor/@Chile_transparente /@ChileIsraelCouncil/Docente/Consultora Latam,FALSE,VeroPinilla,"Santiago, Chile"
1052195578166353920,"@gato_rorro @dmimica Reirse tambien en democracia de:
Periodistas
Medicos
Ingenieros
Biologos
Escritores
Obispos
Asesoras del hogar
Pilotos aereos
Pescadores
Futbolistas
Etc....todo bien democratico e igualitario...?
Se puede ?",2021-04-20T21:17:15.000Z,1384617180080263168,es,0,1,1,0,Lorenzo Opazo,"",2018-10-16T13:52:29.000Z,"Reflexiono y existo, con ideas Liberales , mi gana tiempo es viajar , combatir la corrupción con herramientas Contador Público U de Chile y algo de Derecho .",FALSE,LorenzoOpazo,""
1055175788109185027,@dmimica @rafa_cavada No sabes que el 70% del pib y el 30% del territorio lo ganamos en guerras? Hay que ser muy ignorante.,2021-04-19T11:43:44.000Z,1384110463512813575,es,0,0,0,0,Gustavo Gonzalez,"",2018-10-24T19:14:46.000Z,"Familia y Ciencia. Deportista, músico, 45, tabaco, vino, pensador independiente, Economía, Inversiones, epidemia.",FALSE,Pepitopagadobl6,"Santiago, Metropolitana de Santiago"
1059933315623460864,@dmimica @elOliverdel8 Y por eso va comprar acciones en ese canal....su única lógica es ganaron dinero...,2021-04-19T03:52:58.000Z,1383991989444644869,es,2,0,4,0,Ruski Viestnik,"",2018-11-06T22:19:29.000Z,intillipop...,FALSE,RViestnik,"Valparaíso, Chile"
1075548358427725825,@dmimica Demaaaaas,2021-04-19T03:23:10.000Z,1383984492365287433,es,0,0,0,0,Condor,"",2018-12-20T00:28:06.000Z,"Mestizo. Sean bienvenidos todos, menos los fachos. No pierdan su tiempo. No discuto con cucarachas. Facho que veo, facho que bloqueo. Corta.",FALSE,CondorMillaman,""
110033409,@dmimica Especialmente en las empresas de este tipo,2021-04-19T21:20:34.000Z,1384255628021952517,es,0,0,0,0,Eduardo Gómez,"",2010-01-31T03:32:36.000Z,Socio Interfaz Consultores - Innovación e Inteligencia Organizacional.  Implementación y Gestión de Sistemas de creación de valor.  Capacitación y Consultoría.,FALSE,ebaeza1968,Vña del Mar - Chile
